Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Altdorf
Altitude [m asl]:         438 m
Coordinates:              46° 53.2' N / 8° 37.3' E

Reference date of homogenization:
         Temperature:     01.12.2010
         Precipitation:   01.12.2012

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1864      1               -4.4               40.8  
1864      2               -0.3               38.0  
1864      3                5.5               31.6  
1864      4                7.3              155.1  
1864      5               12.7              103.9  
1864      6               14.5              176.8  
1864      7               16.7              175.1  
1864      8               15.2               77.0  
1864      9               12.6               71.6  
1864     10                8.7               27.1  
1864     11                4.0               72.9  
1864     12               -1.5                5.9  
1865      1                1.1               53.0  
1865      2               -1.0               25.7  
1865      3               -0.5               69.2  
1865      4               12.5                1.0  
1865      5               16.4               57.0  
1865      6               16.1               75.3  
1865      7               18.6              220.7  
1865      8               15.4              197.5  
1865      9               14.9                1.8  
1865     10                9.7               95.4  
1865     11                5.6               74.5  
1865     12               -1.1                4.8  
1866      1                2.2               62.3  
1866      2                4.5              109.4  
1866      3                5.1              115.9  
1866      4                9.8               97.3  
1866      5               10.7               85.4  
1866      6               17.3               59.3  
1866      7               17.2              128.5  
1866      8               14.6              241.7  
1866      9               14.4              103.4  
1866     10                8.5                3.5  
1866     11                3.3              204.8  
1866     12                1.8               96.9  
1867      1                0.2              143.1  
1867      2                5.8               85.7  
1867      3                5.2              105.8  
1867      4                8.9              160.7  
1867      5               13.2               95.1  
1867      6               15.6              133.1  
1867      7               16.3               46.7  
1867      8               17.2               74.5  
1867      9               14.3               62.7  
1867     10                6.8              192.0  
1867     11                2.7               17.7  
1867     12               -1.5              162.2  
1868      1               -2.0               59.0  
1868      2                2.4               20.2  
1868      3                2.9              217.6  
1868      4                7.6               99.5  
1868      5               17.1               35.3  
1868      6               16.9              116.5  
1868      7               17.2              158.8  
1868      8               17.3               62.2  
1868      9               15.6              100.1  
1868     10                8.7              200.7  
1868     11                1.9               32.7  
1868     12                5.8              152.1  
1869      1                0.1               40.6  
1869      2                5.9               30.4  
1869      3                1.3              115.9  
1869      4                9.7              113.8  
1869      5               14.8               97.0  
1869      6               13.5              139.7  
1869      7               19.5              125.1  
1869      8               15.0              202.1  
1869      9               14.2               51.8  
1869     10                6.3               75.2  
1869     11                4.0              106.3  
1869     12                0.1               84.8  
1870      1               -0.8               20.7  
1870      2               -0.1               16.3  
1870      3                2.5               56.6  
1870      4                8.1               50.4  
1870      5               14.3               30.3  
1870      6               16.5               74.0  
1870      7               19.0               57.8  
1870      8               14.6              180.4  
1870      9               12.0               87.0  
1870     10                7.8              247.2  
1870     11                5.2              150.4  
1870     12               -2.3               71.5  
1871      1               -3.4               38.5  
1871      2                1.4               68.2  
1871      3                5.2               38.8  
1871      4                8.8              162.6  
1871      5               12.0               85.5  
1871      6               12.9              196.3  
1871      7               18.0               80.9  
1871      8               16.6              139.2  
1871      9               15.4               21.2  
1871     10                6.5              113.1  
1871     11                1.9               45.3  
1871     12               -6.4                6.2  
1872      1                1.7               25.0  
1872      2                1.3               52.2  
1872      3                5.9               73.4  
