Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Andermatt
Altitude [m asl]:         1438 m
Coordinates:              46° 37.9' N / 8° 34.8' E

Reference date of homogenization:
         Temperature:     01.12.2017
         Precipitation:   01.12.2010

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1864      1              -12.0                 NA  
1864      2               -6.5                 NA  
1864      3               -2.8                 NA  
1864      4               -0.5                 NA  
1864      5                5.4                 NA  
1864      6                7.8                 NA  
1864      7               10.5                 NA  
1864      8                8.8                 NA  
1864      9                6.7                 NA  
1864     10                2.4                 NA  
1864     11               -1.3                 NA  
1864     12               -5.8                 NA  
1865      1               -4.9                 NA  
1865      2               -8.8                 NA  
1865      3               -7.1                 NA  
1865      4                4.0                 NA  
1865      5                8.7                 NA  
1865      6                8.8                 NA  
1865      7               12.3                 NA  
1865      8                9.7                 NA  
1865      9                9.6                 NA  
1865     10                3.8                 NA  
1865     11               -1.1                 NA  
1865     12               -6.4                 NA  
1866      1               -4.2                 NA  
1866      2               -1.9                 NA  
1866      3               -2.4                 NA  
1866      4                2.5                 NA  
1866      5                3.8                 NA  
1866      6               10.7                 NA  
1866      7               10.6                 NA  
1866      8                8.8                 NA  
1866      9                8.7                 NA  
1866     10                3.8                 NA  
1866     11               -2.5                 NA  
1866     12               -3.7                 NA  
1867      1               -5.6                 NA  
1867      2               -1.6                 NA  
1867      3               -0.9                 NA  
1867      4                2.7                 NA  
1867      5                6.1                 NA  
1867      6                8.9                 NA  
1867      7                9.6                 NA  
1867      8               11.7                 NA  
1867      9                8.9                 NA  
1867     10                2.4                 NA  
1867     11               -3.2                 NA  
1867     12               -9.1                 NA  
1868      1               -8.9                 NA  
1868      2               -6.0                 NA  
1868      3               -4.5                 NA  
1868      4                1.0                 NA  
1868      5               10.0                 NA  
1868      6               10.0                 NA  
1868      7               10.7                 NA  
1868      8               11.0                 NA  
1868      9               10.1                 NA  
1868     10                3.5                 NA  
1868     11               -4.9                 NA  
1868     12               -0.2                 NA  
1869      1               -7.3                 NA  
1869      2               -1.2                 NA  
1869      3               -5.4                 NA  
1869      4                2.3                 NA  
1869      5                7.9                 NA  
1869      6                6.4                 NA  
1869      7               13.1                 NA  
1869      8                9.1                 NA  
1869      9                8.9                 NA  
1869     10                1.1                 NA  
1869     11               -2.4                 NA  
1869     12               -4.9                 NA  
1870      1               -9.5                 NA  
1870      2               -4.7                 NA  
1870      3               -4.0                 NA  
1870      4                0.8                 NA  
1870      5                7.9                 NA  
1870      6                9.9                 NA  
1870      7               12.4                 NA  
1870      8                8.5                 NA  
1870      9                6.7                 NA  
1870     10                2.6                 NA  
1870     11               -1.4                 NA  
1870     12               -7.4                 NA  
1871      1               -9.5                 NA  
1871      2               -6.2                 NA  
1871      3               -2.0                 NA  
1871      4                1.8                 NA  
1871      5                5.4                 NA  
1871      6                5.9                 NA  
1871      7               11.4                 NA  
1871      8               10.5                 NA  
1871      9               10.2                 NA  
1871     10                1.5                 NA  
1871     11               -4.5                 NA  
1871     12              -13.6                 NA  
1872      1               -5.8                 NA  
1872      2               -4.0                 NA  
1872      3               -2.3                 NA  
1872      4                2.0                 NA  
1872      5                5.0                 NA  
1872      6                8.6                 NA  
1872      7               11.6                 NA  
1872      8                9.1                 NA  
1872      9                9.0                 NA  
1872     10                4.4                 NA  
1872     11                1.4                 NA  
1872     12               -2.4                 NA  
1873      1               -4.2                 NA  
1873      2               -5.7                 NA  
1873      3                0.5                 NA  
1873      4                0.5                 NA  
1873      5                4.0                 NA  
1873      6               10.2                 NA  
1873      7               12.9                 NA  
1873      8               12.6                 NA  
1873      9                7.2                 NA  
1873     10                4.1                 NA  
1873     11               -0.9                 NA  
1873     12               -7.4                 NA  
1874      1               -6.7                 NA  
1874      2               -6.8                 NA  
1874      3               -4.1                 NA  
1874      4                2.3                 NA  
1874      5                3.4                 NA  
1874      6               10.1                 NA  
1874      7               13.4                 NA  
1874      8                9.4                 NA  
1874      9               10.4                 NA  
1874     10                4.9                 NA  
1874     11               -5.2                 NA  
1874     12               -8.6                 NA  
1875      1               -5.1                 NA  
1875      2               -9.1                 NA  
1875      3               -5.0                 NA  
1875      4                0.4                 NA  
1875      5                8.0                 NA  
1875      6               10.2                 NA  
1875      7               10.3                 NA  
1875      8               12.1                 NA  
1875      9                9.0                 NA  
1875     10                2.4                 NA  
1875     11               -3.6                 NA  
1875     12               -9.9                 NA  
1876      1               -6.3                 NA  
1876      2               -4.8                 NA  
1876      3               -2.9                 NA  
1876      4                1.1                 NA  
1876      5                2.7                 NA  
1876      6                9.4                 NA  
1876      7               11.6                 NA  
1876      8               11.7                 NA  
1876      9                6.6                 NA  
1876     10                6.4                 NA  
1876     11               -3.2                 NA  
1876     12               -2.0                 NA  
1877      1               -4.7                 NA  
1877      2               -4.0                 NA  
1877      3               -4.5                 NA  
1877      4                0.8                 NA  
1877      5                4.1                 NA  
1877      6               12.3                 NA  
1877      7               10.4                 NA  
1877      8               12.4                 NA  
1877      9                5.8                 NA  
1877     10                1.0                 NA  
1877     11               -0.6                 NA  
1877     12               -7.2                 NA  
1878      1              -10.4                 NA  
1878      2               -6.6                 NA  
1878      3               -5.2                 NA  
1878      4                1.2                 NA  
1878      5                7.2                 NA  
1878      6                9.3                 NA  
1878      7               10.2                 NA  
1878      8               11.4                 NA  
1878      9                7.6                 NA  
1878     10                4.4                 NA  
1878     11               -3.0                 NA  
1878     12               -8.2                 NA  
1879      1               -5.9                 NA  
1879      2               -4.0                 NA  
1879      3               -2.2                 NA  
1879      4               -0.5                 NA  
1879      5                2.3                 NA  
1879      6               10.0                 NA  
1879      7                8.8                 NA  
1879      8               12.6                 NA  
1879      9                7.6                 NA  
1879     10                1.9                 NA  
1879     11               -6.1                 NA  
1879     12              -11.6                 NA  
1880      1              -10.4                 NA  
1880      2               -4.1                 NA  
