Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Bern / Zollikofen
Altitude [m asl]:         553 m
Coordinates:              46° 59.4' N / 7° 27.8' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1864      1               -7.6               22.5  
1864      2               -1.8               26.5  
1864      3                3.9               57.1  
1864      4                6.5               55.1  
1864      5               11.9               68.5  
1864      6               13.5              146.0  
1864      7               17.1               43.4  
1864      8               15.0               54.8  
1864      9               12.0               49.9  
1864     10                5.7               27.2  
1864     11                2.0               47.8  
1864     12               -4.7                5.1  
1865      1               -0.9               74.8  
1865      2               -3.0               49.8  
1865      3               -1.9               52.2  
1865      4               11.5               15.5  
1865      5               14.2               69.6  
1865      6               15.5               18.5  
1865      7               18.4               78.6  
1865      8               15.1              153.2  
1865      9               15.2                0.6  
1865     10                8.7               84.0  
1865     11                3.0               67.6  
1865     12               -3.1               25.3  
1866      1                1.6               43.9  
1866      2                3.1              108.3  
1866      3                3.0               73.8  
1866      4                8.7               94.2  
1866      5                9.2              111.6  
1866      6               16.7               65.2  
1866      7               16.8               52.9  
1866      8               14.2              139.8  
1866      9               13.3               55.9  
1866     10                8.2               41.9  
1866     11                2.7               81.6  
1866     12                0.8               80.1  
1867      1               -2.4              145.0  
1867      2                4.1               44.5  
1867      3                3.2              120.4  
1867      4                7.6              127.7  
1867      5               12.2               78.6  
1867      6               14.8              136.3  
1867      7               15.7               69.3  
1867      8               17.1               60.7  
1867      9               13.7               91.3  
1867     10                6.0              132.9  
1867     11                0.4               15.0  
1867     12               -3.2               78.8  
1868      1               -3.5               33.0  
1868      2                1.4               10.1  
1868      3                2.0               46.2  
1868      4                6.7               83.3  
1868      5               16.8               44.7  
1868      6               16.4               89.2  
1868      7               17.6               95.8  
1868      8               16.7              119.4  
1868      9               15.0              118.2  
1868     10                7.9               92.7  
1868     11               -0.2               36.5  
1868     12                3.9              178.1  
1869      1               -2.4               29.1  
1869      2                3.6               42.3  
1869      3               -0.6               59.7  
1869      4                9.3               17.8  
1869      5               12.8              140.0  
1869      6               12.8               74.4  
1869      7               19.3               81.5  
1869      8               15.0              101.6  
1869      9               13.6               73.2  
1869     10                5.6               99.0  
1869     11                3.1              101.4  
1869     12               -2.8               92.2  
1870      1               -2.8               30.4  
1870      2               -2.9                7.1  
1870      3                0.9               92.6  
1870      4                7.5               46.7  
1870      5               13.3               55.7  
1870      6               16.5               46.7  
1870      7               18.9               96.9  
1870      8               14.5               98.2  
1870      9               11.6              121.0  
1870     10                7.7              271.9  
1870     11                2.1               77.0  
1870     12               -5.2               68.7  
1871      1               -6.3               43.1  
1871      2                0.1               42.2  
1871      3                2.9               43.1  
1871      4                8.3              100.8  
1871      5               11.3               21.2  
1871      6               12.0               83.4  
1871      7               18.3              108.9  
1871      8               16.8               51.9  
1871      9               15.1               42.9  
1871     10                6.0               82.4  
1871     11               -0.6               26.1  
1871     12               -8.3                7.7  
1872      1               -1.1               43.5  
1872      2               -0.2               50.1  
1872      3                4.5               26.9  
1872      4                8.2               61.5  
1872      5               10.5              154.7  
1872      6               14.9              120.3  
1872      7               18.3               99.2  
1872      8               15.3              137.3  
1872      9               14.2               38.9  
1872     10                8.4               88.8  
1872     11                5.2               64.5  
1872     12                1.3               68.1  
1873      1               -0.2               28.2  
1873      2               -1.0               25.2  
1873      3                5.5               88.2  
1873      4                6.1               93.9  
1873      5                9.9               64.0  
1873      6               15.4               59.3  
1873      7               19.2               95.1  
1873      8               18.2               53.1  
1873      9               12.6               64.8  
1873     10                8.5               99.6  
1873     11                3.1               53.9  
1873     12               -2.5               29.3  
1874      1               -1.8               20.9  
1874      2               -1.1               23.9  
1874      3                3.2               31.5  
1874      4                9.2               86.2  
1874      5                8.5              119.4  
1874      6               15.9              116.4  
1874      7               19.7              112.0  
1874      8               15.0               58.2  
1874      9               14.6               36.6  
1874     10                8.3               43.5  
1874     11                0.3              130.0  
1874     12               -3.1              128.9  
1875      1                0.7              116.5  
1875      2               -3.6               16.6  
1875      3                1.9               19.2  
1875      4                7.6               44.7  
1875      5               14.3              135.9  
1875      6               16.1              102.2  
1875      7               15.8              190.3  
1875      8               17.8              120.2  
1875      9               14.5               71.2  
1875     10                7.3              104.8  
1875     11                2.8              178.2  
1875     12               -3.9                5.8  
1876      1               -3.3               27.9  
1876      2                1.1              168.3  
1876      3                3.4              277.9  
1876      4                6.9              131.0  
1876      5                8.6               81.6  
1876      6               14.8              198.3  
1876      7               17.8               50.8  
1876      8               17.1               95.6  
1876      9               11.7              161.5  
1876     10               10.0                5.9  
1876     11                2.1               74.4  
1876     12                2.1               80.7  
1877      1                1.0               86.5  
1877      2                2.9              171.3  
1877      3                2.1              113.4  
1877      4                6.9              121.3  
1877      5                9.5              166.5  
1877      6               17.8              166.3  
1877      7               16.5              130.9  
1877      8               17.4              101.6  
1877      9               11.0               40.4  
1877     10                5.4               31.3  
1877     11                4.6              135.5  
1877     12                0.2               78.0  
