Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  La Chaux-de-Fonds
Altitude [m asl]:         1017 m
Coordinates:              47° 5.0' N / 6° 47.5' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2010

Last inhomogeneity provisionally corrected:
         Temperature:     no
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1900      1                 NA              167.5  
1900      2                 NA              104.3  
1900      3                 NA               48.8  
1900      4                 NA               72.4  
1900      5                 NA               79.1  
1900      6                 NA               68.8  
1900      7                 NA               99.7  
1900      8                 NA              150.2  
1900      9                 NA               97.7  
1900     10                 NA               79.8  
1900     11                 NA               76.1  
1900     12                 NA              118.6  
1901      1               -3.3               94.4  
1901      2               -8.1               48.0  
1901      3               -1.2               83.5  
1901      4                4.8              251.0  
1901      5                9.0               39.5  
1901      6               12.5              178.2  
1901      7               14.5              117.7  
1901      8               12.7              135.2  
1901      9               10.9              189.8  
1901     10                5.3              129.5  
1901     11               -1.1               41.7  
1901     12               -2.0              109.3  
1902      1               -1.6               77.1  
1902      2               -2.2               74.4  
1902      3                1.3              133.0  
1902      4                6.8               92.7  
1902      5                4.5              176.7  
1902      6               11.0               99.8  
1902      7               14.4              111.3  
1902      8               12.6              169.7  
1902      9                9.9               62.1  
1902     10                5.2              137.2  
1902     11                1.4               43.5  
1902     12               -2.5              130.6  
1903      1               -2.3               61.7  
1903      2               -0.5               40.8  
1903      3                2.1               90.3  
1903      4                1.0              108.4  
1903      5                8.9               75.6  
1903      6               10.3               77.5  
1903      7               12.9               86.2  
1903      8               12.9              181.8  
1903      9               10.7               47.8  
1903     10                7.0              178.5  
1903     11                1.0              111.6  
1903     12               -3.2               51.5  
1904      1               -4.4               58.3  
1904      2               -1.9              192.9  
1904      3                0.6               69.5  
1904      4                6.1               90.6  
1904      5               10.0              183.3  
1904      6               12.9              105.4  
1904      7               16.7               32.0  
1904      8               13.8              114.5  
1904      9                8.5               94.2  
1904     10                6.0               53.9  
1904     11                0.5               47.4  
1904     12               -1.7               77.6  
1905      1               -5.6               95.0  
1905      2               -3.1               31.9  
1905      3                1.7              123.7  
1905      4                4.6              165.4  
1905      5                6.9               94.7  
1905      6               12.6               88.3  
1905      7               16.4               55.2  
1905      8               13.3              255.8  
1905      9               10.1              144.0  
1905     10                0.6              115.4  
1905     11                1.2              131.8  
