Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Château-d'Oex
Altitude [m asl]:         1028 m
Coordinates:              46° 28.8' N / 7° 8.4' E

Reference date of homogenization:
         Temperature:     01.12.2014
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1879      1               -5.4               73.0  
1879      2               -3.3              115.0  
1879      3                0.4               25.6  
1879      4                2.7              103.2  
1879      5                5.3               96.2  
1879      6               12.5              128.4  
1879      7               11.1              232.0  
1879      8               14.7              125.4  
1879      9                9.6               92.8  
1879     10                3.4              100.2  
1879     11               -2.8               97.5  
1879     12               -8.8               49.4  
1880      1               -8.1               19.6  
1880      2               -2.0               25.0  
1880      3                2.5               13.3  
1880      4                5.3               72.0  
1880      5                7.8               50.4  
1880      6               10.4              133.6  
1880      7               14.6               89.4  
1880      8               12.0              160.6  
1880      9                9.9              103.2  
1880     10                6.3              244.0  
1880     11                1.5               78.5  
1880     12                0.5              126.9  
1881      1               -6.9              108.0  
1881      2               -1.8               90.0  
1881      3                1.5               96.0  
1881      4                4.3               99.2  
1881      5                7.9              114.4  
1881      6               11.1              138.5  
1881      7               15.6              105.5  
1881      8               13.1              201.5  
1881      9                8.1              114.7  
1881     10                1.9               83.9  
1881     11                2.2               28.1  
1881     12               -3.0               56.8  
1882      1               -2.8               20.6  
1882      2               -2.8               33.0  
1882      3                1.9               53.5  
1882      4                4.6               76.1  
1882      5                9.2              120.6  
1882      6               11.1              172.9  
1882      7               12.3              126.0  
1882      8               11.3              140.9  
1882      9                8.2              212.9  
1882     10                5.9              135.6  
1882     11                1.3              203.1  
1882     12               -1.8              169.3  
1883      1               -2.2               54.6  
1883      2               -1.8               32.9  
1883      3               -3.1               68.0  
1883      4                3.6               17.9  
1883      5                8.8               79.7  
1883      6               11.1              118.7  
1883      7               12.1              206.0  
1883      8               12.3               79.9  
1883      9                8.7              145.6  
1883     10                4.0              161.3  
1883     11                0.5               95.3  
1883     12               -4.7               88.7  
1884      1               -1.7               47.1  
1884      2               -1.0               55.5  
1884      3                1.7                8.9  
1884      4                3.9               49.5  
1884      5               10.0              103.4  
1884      6                9.4               95.8  
1884      7               14.0              167.6  
1884      8               13.2              107.8  
1884      9                9.9              135.0  
1884     10                3.7               62.3  
1884     11               -2.2               26.1  
1884     12               -2.1              112.7  
1885      1               -7.8               12.9  
1885      2                0.2              119.3  
1885      3                0.8               65.2  
1885      4                5.1               58.5  
1885      5                6.7              144.3  
1885      6               13.7               86.4  
1885      7               14.9               72.3  
1885      8               12.6              111.0  
1885      9                8.9              209.9  
1885     10                3.2              201.3  
1885     11                1.4               71.9  
1885     12               -4.2               74.1  
1886      1               -5.1               57.0  
1886      2               -5.9               46.4  
1886      3               -1.1               82.7  
1886      4                5.9               73.1  
1886      5                9.4               36.9  
1886      6               10.5              129.7  
1886      7               14.3              140.0  
1886      8               12.8              134.0  
1886      9               11.5               58.8  
1886     10                6.1              138.0  
1886     11                1.0               69.7  
1886     12               -2.6              158.8  
1887      1               -7.7               21.7  
1887      2               -5.7                5.9  
1887      3               -1.9              134.3  
1887      4                4.1               35.0  
1887      5                6.3              127.5  
1887      6               13.2               58.0  
1887      7               15.3               95.0  
1887      8               13.0              211.0  
1887      9                8.6               77.0  
1887     10                 NA                 NA  
1887     11                 NA                 NA  
1887     12                 NA                 NA  
1888      1                 NA                 NA  
1888      2                 NA                 NA  
1888      3                 NA                 NA  
1888      4                 NA                 NA  
1888      5                 NA                 NA  
1888      6                 NA                 NA  
1888      7                 NA                 NA  
1888      8                 NA                 NA  
1888      9                 NA                 NA  
1888     10                 NA                 NA  
1888     11                 NA                 NA  
1888     12                 NA                 NA  
1889      1                 NA                 NA  
1889      2                 NA                 NA  
1889      3                 NA                 NA  
1889      4                 NA                 NA  
1889      5                 NA                 NA  
1889      6                 NA                 NA  
1889      7                 NA                 NA  
1889      8                 NA                 NA  
1889      9                 NA                 NA  
1889     10                 NA                 NA  
1889     11                 NA                 NA  
1889     12                 NA                 NA  
1890      1                 NA                 NA  
1890      2                 NA                 NA  
1890      3                 NA                 NA  
1890      4                 NA                 NA  
1890      5                 NA                 NA  
1890      6                 NA                 NA  
1890      7                 NA                 NA  
1890      8                 NA                 NA  
1890      9                 NA                 NA  
1890     10                 NA                 NA  
1890     11                 NA                 NA  
1890     12                 NA                 NA  
1891      1                 NA                 NA  
1891      2                 NA                 NA  
1891      3                 NA                 NA  
1891      4                 NA                 NA  
1891      5                 NA                 NA  
1891      6                 NA                 NA  
1891      7                 NA                 NA  
1891      8                 NA                 NA  
1891      9                 NA                 NA  
1891     10                 NA                 NA  
1891     11                 NA                 NA  
1891     12                 NA                 NA  
1892      1                 NA                 NA  
1892      2                 NA                 NA  
1892      3                 NA                 NA  
1892      4                 NA                 NA  
1892      5                 NA                 NA  
1892      6                 NA                 NA  
1892      7                 NA                 NA  
1892      8                 NA                 NA  
1892      9                 NA                 NA  
1892     10                 NA                 NA  
1892     11                 NA                 NA  
1892     12                 NA                 NA  
1893      1                 NA                 NA  
1893      2                 NA                 NA  
1893      3                 NA                 NA  
1893      4                 NA                 NA  
1893      5                 NA                 NA  
1893      6                 NA                 NA  
1893      7                 NA                 NA  
1893      8                 NA                 NA  
1893      9                 NA                 NA  
1893     10                 NA                 NA  
1893     11                 NA                 NA  
1893     12                 NA                 NA  
1894      1                 NA                 NA  
1894      2                 NA                 NA  
1894      3                 NA                 NA  
1894      4                 NA                 NA  
1894      5                 NA                 NA  
1894      6                 NA                 NA  
1894      7                 NA                 NA  
1894      8                 NA                 NA  
1894      9                 NA                 NA  
1894     10                 NA                 NA  
1894     11                 NA                 NA  
1894     12                 NA                 NA  
