Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Chaumont
Altitude [m asl]:         1136 m
Coordinates:              47° 3.0' N / 6° 58.7' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     no
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1864      1               -3.9               34.3  
1864      2               -2.6               51.6  
1864      3                1.7              101.1  
1864      4                3.7               69.0  
1864      5                8.4              112.0  
1864      6                9.8              225.1  
1864      7               12.9               54.8  
1864      8               11.5               67.3  
1864      9                9.4              107.2  
1864     10                4.3               79.7  
1864     11                0.1               88.1  
1864     12               -2.0               18.6  
1865      1               -1.6              122.9  
1865      2               -5.0               83.1  
1865      3               -5.3               59.4  
1865      4                9.6               20.2  
1865      5               11.2              105.5  
1865      6               11.5               62.9  
1865      7               14.6              104.5  
1865      8               11.3              181.5  
1865      9               13.9                2.1  
1865     10                6.6              240.0  
1865     11                2.2              102.7  
1865     12               -1.2               21.2  
1866      1                0.5               76.3  
1866      2                0.8              136.8  
1866      3               -0.3              153.7  
1866      4                5.2              122.9  
1866      5                5.1              207.3  
1866      6               13.0               51.3  
1866      7               12.5              106.1  
1866      8               10.2              193.9  
1866      9               10.6              106.5  
1866     10                7.1               83.4  
1866     11                0.7              111.2  
1866     12                1.9              133.9  
1867      1               -2.8              211.4  
1867      2                1.9               45.1  
1867      3                0.4              222.1  
1867      4                3.7              180.9  
1867      5                8.6               76.9  
1867      6               10.9              222.9  
1867      7               11.1               47.5  
1867      8               13.7               90.3  
1867      9               10.9               99.1  
1867     10                4.1              112.3  
1867     11                0.0               17.2  
1867     12               -4.4               61.2  
1868      1               -5.0               43.7  
1868      2                0.1                6.7  
1868      3               -1.1               71.5  
1868      4                3.0               95.0  
1868      5               13.6               45.0  
1868      6               12.5               45.3  
1868      7               13.7              138.4  
1868      8               12.8              121.1  
1868      9               12.9              173.2  
1868     10                5.5              107.8  
1868     11               -0.8               71.8  
1868     12                2.7              218.5  
1869      1               -3.0               57.2  
1869      2                2.7               42.2  
1869      3               -3.8               50.8  
1869      4                6.3               33.2  
1869      5                9.3              183.7  
1869      6                8.6               81.9  
1869      7               15.6               95.6  
1869      8               11.3               43.3  
1869      9               11.1              108.7  
1869     10                3.4               52.2  
1869     11                0.5              121.6  
1869     12               -2.1               59.2  
1870      1               -3.8               29.2  
1870      2               -1.9               31.6  
1870      3               -2.0               85.4  
1870      4                4.4               24.1  
1870      5                9.8               42.3  
1870      6               12.1               71.9  
1870      7               15.3               60.6  
1870      8               10.1              134.7  
1870      9                8.9               59.9  
1870     10                5.3              200.7  
1870     11                0.3              188.5  
1870     12               -6.4              128.3  
1871      1               -6.7              106.0  
1871      2                0.7               37.0  
1871      3                1.5               28.1  
1871      4                4.5              115.4  
1871      5                7.5               30.8  
1871      6                7.4              158.6  
1871      7               13.4              101.4  
1871      8               13.4               33.3  
1871      9               12.5               72.7  
1871     10                4.6              142.1  
1871     11               -2.7               32.7  
1871     12               -5.3                7.5  
1872      1               -1.2              117.4  
1872      2                0.5               78.9  
1872      3                2.0               53.2  
1872      4                4.6              145.7  
1872      5                6.4              220.2  
1872      6               10.5              167.7  
1872      7               14.1               84.7  
1872      8               11.1              136.2  
1872      9               11.2               29.0  
1872     10                6.1              251.4  
1872     11                2.8              100.9  
1872     12                1.1              160.8  
1873      1               -0.3               79.5  
1873      2               -2.6               25.8  
1873      3                2.9              104.7  
1873      4                2.2               94.6  
1873      5                5.6              119.2  
1873      6               11.2               82.4  
1873      7               15.2              123.2  
1873      8               14.1               57.3  
1873      9                8.9              106.8  
1873     10                5.8               76.7  
1873     11                1.1              113.7  
1873     12               -1.7               10.6  
1874      1               -1.3               15.2  
1874      2               -2.5               29.5  
1874      3               -0.2               21.6  
1874      4                5.5               59.3  
1874      5                4.0              120.1  
1874      6               11.5              165.1  
1874      7               15.6              150.1  
1874      8               11.4               72.3  
1874      9               12.3               43.2  
1874     10                7.7               40.3  
1874     11               -0.4              158.8  
1874     12               -6.2              161.3  
1875      1               -0.7               99.3  
1875      2               -5.7               24.5  
1875      3               -1.1               31.7  
1875      4                4.7               39.3  
1875      5               10.2              111.4  
1875      6               11.7              127.2  
1875      7               11.7              181.3  
1875      8               14.2              195.0  
1875      9               12.2               89.9  
1875     10                4.5              187.0  
1875     11               -0.6              244.2  
1875     12               -4.1               15.7  
1876      1               -2.5               22.4  
1876      2               -1.0              113.9  
1876      3               -0.5              178.0  
1876      4                3.3              208.0  
1876      5                4.4               49.4  
1876      6               11.4              105.9  
1876      7               14.3               36.5  
1876      8               14.3              190.3  
1876      9                8.7              136.5  
1876     10                8.7                1.9  
1876     11                0.2               95.9  
1876     12                1.5               87.2  
1877      1               -0.2               61.8  
1877      2               -1.2              114.3  
1877      3               -1.6              119.3  
1877      4                3.7               53.4  
1877      5                5.2              251.2  
1877      6               14.3               88.2  
1877      7               12.4              168.5  
1877      8               13.9              132.4  
1877      9                7.9               57.0  
1877     10                3.8               65.6  
1877     11                2.1              133.6  
1877     12               -3.1               74.1  
1878      1               -4.7               40.0  
1878      2                0.5               23.2  
1878      3               -1.7               57.4  
1878      4                3.9              166.5  
1878      5                9.0              165.7  
1878      6               10.9              174.1  
1878      7               12.5              122.0  
1878      8               12.6              156.3  
1878      9               10.0               49.7  
1878     10                6.4              145.3  
1878     11               -1.3               68.3  
1878     12               -5.1              124.4  
1879      1               -2.4               90.8  
1879      2               -2.2              152.9  
1879      3                1.5               49.9  
1879      4                1.2               69.0  
1879      5                3.7              129.6  
1879      6               11.3              122.8  
1879      7               10.3              215.4  
1879      8               14.6              115.6  
1879      9                9.8              152.9  
1879     10                5.1              116.6  
1879     11               -2.3               86.2  
1879     12               -5.0               39.2  
1880      1               -3.8               26.9  
1880      2                0.3               25.7  
1880      3                4.3               13.7  
1880      4                4.4              209.1  
1880      5                6.8               20.3  
1880      6                9.0              172.3  
1880      7               14.1              131.5  
1880      8               12.0              149.3  
1880      9               10.3               97.4  
1880     10                5.9              245.4  
1880     11                1.1               39.4  
1880     12                1.2               79.1  
1881      1               -6.5               68.2  
1881      2                0.1               57.5  
1881      3                2.0               83.3  
1881      4                3.3              121.3  
1881      5                6.6               58.5  
1881      6               10.5              125.4  
1881      7               16.1               45.4  
1881      8               13.0              179.4  
1881      9                7.9              152.1  
1881     10                0.9              118.4  
1881     11                4.1               78.6  
1881     12               -1.8               56.3  
1882      1                0.8               17.7  
1882      2               -0.7               26.4  
1882      3                2.7               48.1  
1882      4                3.2               99.8  
1882      5                7.7               77.5  
1882      6                9.4              153.9  
1882      7               11.3              152.4  
1882      8               10.8              119.9  
1882      9                7.9              280.2  
1882     10                5.9              170.1  
1882     11                0.7              230.4  
1882     12               -0.7              166.8  
1883      1               -1.7               69.1  
1883      2                0.5               23.8  
1883      3               -3.5               49.4  
1883      4                3.2               44.4  
1883      5                7.9              110.3  
1883      6               10.7              107.2  
1883      7               11.7              213.9  
1883      8               12.6               55.5  
1883      9                8.7              137.1  
1883     10                5.2              123.2  
1883     11                1.2               83.9  
1883     12               -2.8               92.8  
1884      1                0.0               58.6  
1884      2                0.6               48.3  
1884      3                3.2                7.2  
1884      4                3.6               64.8  
1884      5                9.4               69.9  
1884      6                7.6               60.0  
1884      7               14.6              118.9  
1884      8               13.6              117.8  
1884      9               11.1               54.2  
1884     10                3.2               30.1  
1884     11               -0.7               17.8  
1884     12               -2.0              111.0  
1885      1               -4.0               33.9  
1885      2                1.0               88.9  
1885      3               -0.3               39.7  
1885      4                4.3               12.7  
1885      5                4.0              143.1  
1885      6               14.1               86.4  
1885      7               15.2               24.8  
1885      8               12.6               87.6  
1885      9                9.0              192.8  
1885     10                2.9              247.0  
1885     11                1.4               85.0  
1885     12               -1.4               51.1  
1886      1               -4.3               68.2  
1886      2               -3.8               38.0  
1886      3               -0.4               95.3  
1886      4                6.2               71.0  
1886      5                9.0               96.9  
1886      6               10.0              145.1  
1886      7               15.1              118.0  
1886      8               13.1               89.1  
1886      9               13.3               50.3  
1886     10                7.9              162.5  
1886     11                1.2              114.4  
1886     12               -4.2              183.2  
1887      1               -3.8               16.2  
1887      2               -3.1                1.4  
1887      3               -1.1              126.1  
1887      4                4.2               56.1  
1887      5                5.4               99.9  
1887      6               13.9               62.7  
1887      7               16.4               78.5  
1887      8               13.8              197.6  
1887      9               10.0               76.1  
1887     10                1.1               70.5  
1887     11                0.5               68.1  
1887     12               -4.7              137.3  
1888      1               -3.4               50.0  
1888      2               -4.6               65.9  
1888      3               -2.0              151.6  
1888      4                1.4              155.1  
1888      5                9.4               45.1  
1888      6               11.6              181.1  
1888      7               10.5              145.2  
1888      8               11.5               87.6  
1888      9               10.6               79.9  
1888     10                3.9              124.9  
1888     11                2.3               65.8  
1888     12                1.5                4.6  
1889      1               -3.8               21.2  
1889      2               -6.3              148.7  
1889      3               -2.9               61.9  
1889      4                2.1               43.9  
1889      5                9.0              132.3  
1889      6               12.3              294.5  
1889      7               12.2               82.3  
1889      8               11.4              103.4  
1889      9                8.5               43.2  
1889     10                4.5              196.8  
1889     11                2.2               44.7  
1889     12               -5.0               40.4  
1890      1                1.6               70.9  
1890      2               -4.6                9.2  
1890      3                0.7               21.2  
1890      4                2.7               80.4  
1890      5                8.4              128.5  
1890      6                9.9              131.0  
1890      7               11.0              104.9  
1890      8               11.7              248.0  
1890      9                9.7               41.5  
1890     10                4.5              131.0  
1890     11               -0.8              135.9  
1890     12               -5.1               32.4  
1891      1               -7.2               52.7  
1891      2               -1.7                4.2  
1891      3               -0.5               88.2  
1891      4                1.2               75.7  
1891      5                6.9              121.8  
1891      6               11.0              220.4  
1891      7               11.5              188.1  
1891      8               11.3              108.2  
1891      9               11.2               87.3  
1891     10                7.2              112.2  
1891     11                0.4              154.3  
1891     12               -0.4              127.5  
1892      1               -3.1               56.5  
1892      2               -1.8               79.1  
1892      3               -2.7               75.2  
1892      4                4.7               46.2  
1892      5                8.1               47.9  
1892      6               11.3              129.2  
1892      7               12.6              240.4  
1892      8               14.6               62.8  
1892      9               11.2              106.7  
1892     10                4.8              167.3  
1892     11                3.7               41.5  
1892     12               -3.6               69.3  
1893      1               -7.0               36.2  
1893      2               -1.4               89.7  
1893      3                2.6               59.0  
1893      4                9.8                0.0  
1893      5                8.3               58.8  
1893      6               12.1               94.8  
1893      7               12.8              126.0  
1893      8               15.1               31.5  
1893      9               10.2              156.6  
1893     10                7.7               98.5  
1893     11               -0.7               74.6  
1893     12               -1.8               23.8  
1894      1               -3.4               32.9  
1894      2               -1.5               22.7  
1894      3                1.4               32.4  
1894      4                6.7               36.6  
1894      5                6.3              125.6  
1894      6               10.1               78.0  
1894      7               13.3              179.4  
1894      8               12.4               99.3  
1894      9                8.5               90.6  
1894     10                5.3              153.2  
1894     11                2.5               56.0  
1894     12               -2.9               48.0  
1895      1               -8.1              101.3  
1895      2               -8.5               43.6  
1895      3               -1.6              126.8  
1895      4                5.5               84.6  
1895      5                7.7               55.1  
1895      6               11.3               77.0  
1895      7               13.3              126.9  
1895      8               13.0              153.6  
1895      9               15.4               16.5  
1895     10                4.8              149.6  
1895     11                4.4              131.0  
1895     12               -1.8              132.8  
1896      1               -3.4               27.3  
1896      2               -0.6                8.2  
1896      3                2.6              152.8  
1896      4                1.3               75.5  
1896      5                6.2               25.4  
1896      6               10.7              193.9  
1896      7               13.2              154.6  
1896      8                9.9              137.6  
1896      9                8.7              227.6  
1896     10                3.5              185.0  
1896     11               -1.6               44.4  
1896     12               -2.6               95.3  
1897      1               -3.8               33.4  
1897      2                1.4              114.8  
1897      3                2.2               95.0  
1897      4                3.2              122.6  
1897      5                5.7               81.7  
1897      6               13.0               96.1  
1897      7               13.5               74.0  
1897      8               12.7              196.0  
1897      9                8.6              223.0  
1897     10                5.7                5.3  
1897     11                4.2               31.4  
1897     12               -1.5               74.6  
1898      1                2.3               11.7  
1898      2               -2.9              119.4  
1898      3               -0.9               66.6  
1898      4                4.4              107.4  
1898      5                6.1              131.7  
1898      6                9.8              140.2  
1898      7               11.7               41.5  
1898      8               15.8               34.4  
1898      9               13.6               30.9  
1898     10                7.5              138.0  
1898     11                3.9              102.3  
1898     12               -0.2               50.0  
1899      1               -0.7              208.9  
1899      2                1.7               32.0  
1899      3                1.3               19.2  
1899      4                2.6              192.2  
1899      5                6.8               68.7  
1899      6               11.4               87.1  
1899      7               14.0               87.0  
1899      8               15.2               50.5  
1899      9                9.6              104.1  
1899     10                7.9              119.4  
1899     11                3.5               11.7  
1899     12               -3.3               86.0  
1900      1               -2.6              169.7  
1900      2               -0.1              150.7  
1900      3               -3.5               53.2  
1900      4                3.0               66.5  
1900      5                6.6              108.7  
1900      6               12.5               60.1  
1900      7               15.0               56.8  
1900      8               11.8              164.8  
1900      9               12.4               48.6  
1900     10                6.7               55.2  
1900     11                1.5               82.1  
1900     12                1.5              152.4  
1901      1               -2.8               58.0  
1901      2               -7.5               80.7  
1901      3               -2.2               87.4  
1901      4                4.1              187.7  
1901      5                8.8               31.1  
1901      6               11.7              256.3  
1901      7               14.3              204.5  
1901      8               12.8              123.6  
1901      9               10.1              183.1  
1901     10                5.2               83.5  
1901     11               -1.5               39.9  
1901     12               -2.6              113.5  
1902      1               -1.6               71.2  
1902      2               -3.0              118.5  
1902      3                0.8              160.5  
1902      4                6.2               82.3  
1902      5                3.2              162.2  
1902      6                9.7               59.5  
1902      7               14.0               74.1  
1902      8               11.8              210.0  
1902      9                9.8               46.3  
1902     10                4.6              105.8  
1902     11                0.9               91.6  
1902     12               -2.3              116.4  
1903      1               -1.3               81.9  
1903      2                1.0               51.7  
1903      3                1.8               93.4  
1903      4               -0.3               95.3  
1903      5                8.0               88.6  
1903      6                9.7               68.0  
1903      7               11.8              119.3  
1903      8               12.4              167.7  
1903      9               10.5               39.3  
1903     10                6.3              152.7  
1903     11                0.5               89.3  
1903     12               -2.7               91.1  
1904      1               -3.0               45.8  
1904      2               -2.8              199.1  
1904      3                0.2               46.9  
1904      4                5.2               89.5  
1904      5                9.4              152.4  
1904      6               12.5               76.6  
1904      7               16.6               26.8  
1904      8               14.0              100.9  
1904      9                7.4              106.3  
1904     10                5.7               52.2  
1904     11                1.0               30.9  
1904     12               -1.3               25.8  
1905      1               -5.4               52.7  
1905      2               -3.2               20.5  
1905      3                0.5              139.8  
1905      4                3.4              105.6  
1905      5                5.6               72.2  
1905      6               11.5              152.4  
1905      7               15.9               53.8  
1905      8               13.2              223.3  
1905      9                9.0              166.1  
1905     10                0.1              124.7  
1905     11               -0.5              195.7  
1905     12               -2.1               49.6  
1906      1               -3.7              111.3  
1906      2               -5.2              150.8  
1906      3               -2.4              108.7  
1906      4                2.7               60.2  
1906      5                7.9              137.9  
1906      6               10.3               56.7  
1906      7               13.4               84.7  
1906      8               14.2               31.1  
1906      9                9.9               29.3  
1906     10                8.8               77.6  
1906     11                2.6              196.6  
1906     12               -5.7              121.3  
1907      1               -4.1               80.1  
1907      2               -5.4               58.8  
1907      3               -0.8               80.5  
1907      4                1.8               78.7  
1907      5                8.7               75.6  
1907      6               10.3              118.4  
1907      7               11.0               85.8  
1907      8               13.6               95.3  
1907      9               11.2               53.4  
1907     10                6.9              103.1  
1907     11                3.3               21.0  
1907     12                0.2              144.4  
1908      1               -2.1               46.7  
1908      2               -2.8              109.6  
1908      3               -1.6               59.2  
1908      4                1.4               65.7  
1908      5                9.8              120.5  
1908      6               13.1              161.8  
1908      7               13.0              136.2  
1908      8               11.0              121.2  
1908      9                9.3              119.9  
1908     10                7.5               20.8  
1908     11                1.0               85.8  
1908     12               -1.5               51.9  
1909      1               -4.0               47.0  
1909      2               -6.1               58.2  
1909      3               -2.5               83.7  
1909      4                5.6               80.7  
1909      5                7.4               36.3  
1909      6                8.7              196.6  
1909      7               10.3              120.4  
1909      8               12.2              121.4  
1909      9                8.9              111.4  
1909     10                7.1              166.7  
1909     11               -1.3               70.9  
1909     12               -0.9              194.8  
1910      1               -2.1              183.5  
1910      2               -2.0               96.7  
1910      3                0.6               16.4  
1910      4                2.4               71.8  
1910      5                6.2               90.7  
1910      6               11.0              246.5  
1910      7               10.6              198.1  
1910      8               11.8              100.3  
1910      9                7.7               67.3  
1910     10                7.3               34.5  
1910     11               -0.9              215.2  
1910     12                0.9              137.8  
1911      1               -4.3               13.7  
1911      2               -2.2               66.9  
1911      3                0.7               78.8  
1911      4                2.8               37.2  
1911      5                8.3               71.2  
1911      6               10.8              163.2  
1911      7               16.5               18.7  
1911      8               16.6              185.3  
1911      9               12.9               99.1  
1911     10                6.2              108.5  
1911     11                3.2              107.0  
1911     12                0.4              113.6  
1912      1               -0.5               63.9  
1912      2                2.1               68.7  
1912      3                2.5              133.9  
1912      4                2.9               17.6  
1912      5                9.0               97.4  
1912      6               10.8              111.4  
1912      7               12.6              146.2  
1912      8                9.1              197.1  
1912      9                4.8               40.0  
1912     10                4.4              169.8  
1912     11               -1.9               73.9  
1912     12                1.1               52.8  
1913      1                0.1              117.7  
1913      2               -1.7               50.0  
1913      3                3.0               88.1  
1913      4                3.3               73.0  
1913      5                7.5               77.3  
1913      6               10.6               43.2  
1913      7                9.9              109.5  
1913      8               12.1              130.6  
1913      9                9.4              132.9  
1913     10                8.0               40.8  
1913     11                3.5              137.3  
1913     12               -1.6               32.5  
1914      1               -6.5               60.2  
1914      2                1.9               26.8  
1914      3                0.1              236.2  
1914      4                6.2               84.7  
1914      5                5.3              149.2  
1914      6                9.6               76.6  
1914      7               11.1              176.6  
1914      8               13.0              176.7  
1914      9                9.3              113.1  
1914     10                5.4               34.5  
1914     11                0.4               72.2  
1914     12               -0.3              171.1  
1915      1               -4.5              144.2  
1915      2               -3.2              110.7  
1915      3               -1.1               91.9  
1915      4                2.2              109.4  
1915      5               10.0              125.1  
