Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Davos
Altitude [m asl]:         1594 m
Coordinates:              46° 48.8' N / 9° 50.6' E

Reference date of homogenization:
         Temperature:     01.12.2014
         Precipitation:   01.12.2014

Last inhomogeneity provisionally corrected:
         Temperature:     no
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1864      1              -10.3                 NA  
1864      2               -6.3                 NA  
1864      3               -2.2                 NA  
1864      4               -0.4                 NA  
1864      5                5.7                 NA  
1864      6                8.1                 NA  
1864      7               10.3                 NA  
1864      8                8.7                 NA  
1864      9                6.6                 NA  
1864     10                2.5                 NA  
1864     11               -1.6                 NA  
1864     12               -6.4                 NA  
1865      1               -6.3                 NA  
1865      2               -8.3                 NA  
1865      3               -7.0                 NA  
1865      4                3.9                 NA  
1865      5                7.9                 NA  
1865      6                8.8                 NA  
1865      7               12.0                 NA  
1865      8                9.3                 NA  
1865      9                9.3                 NA  
1865     10                3.8                 NA  
1865     11               -0.9                 NA  
1865     12               -5.9                 NA  
1866      1               -4.3                 NA  
1866      2               -2.4                 NA  
1866      3               -2.4                 NA  
1866      4                1.9                 NA  
1866      5                3.3                 NA  
1866      6                9.8                 NA  
1866      7               10.3                 NA  
1866      8                8.4                 NA  
1866      9                7.9                 NA  
1866     10                3.9                 NA  
1866     11               -2.2                 NA  
1866     12               -3.8              108.8  
1867      1               -5.5              137.9  
1867      2               -1.4               60.7  
1867      3               -1.1               36.1  
1867      4                1.8              129.2  
1867      5                6.2              110.5  
1867      6                9.2               74.4  
1867      7                9.6               48.3  
1867      8               11.2               70.6  
1867      9                8.9               75.2  
1867     10                1.8              108.3  
1867     11               -3.3               31.3  
1867     12               -8.1              139.0  
1868      1               -7.6               35.7  
1868      2               -4.3               17.4  
1868      3               -4.3              131.1  
1868      4                0.2              159.0  
1868      5                8.9               22.5  
1868      6               10.1              126.6  
1868      7               10.5              134.1  
1868      8               10.6              108.7  
1868      9                8.9               96.9  
1868     10                4.0              112.8  
1868     11               -3.9               20.8  
1868     12               -1.1               83.3  
1869      1               -8.3               44.2  
1869      2               -0.3               32.9  
1869      3               -5.7               89.7  
1869      4                2.3               28.0  
1869      5                8.7               66.8  
1869      6                6.6              133.5  
1869      7               13.1               64.6  
1869      8                9.0              142.7  
1869      9                8.9               61.5  
1869     10                0.5               91.1  
1869     11               -2.3               75.0  
1869     12               -5.4               35.2  
1870      1               -8.4               27.8  
1870      2               -4.8               20.0  
1870      3               -4.2               50.4  
1870      4                0.2               35.3  
1870      5                7.1               30.8  
