Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Elm
Altitude [m asl]:         958 m
Coordinates:              46° 55.4' N / 9° 10.5' E

Reference date of homogenization:
         Temperature:     01.12.2013
         Precipitation:   01.12.2012

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1878      2               -1.4               20.8  
1878      3               -1.1              126.5  
1878      4                5.1              101.5  
1878      5               10.4              100.1  
1878      6               12.3              152.1  
1878      7               13.0              201.5  
1878      8               13.5              186.7  
1878      9                9.6              102.9  
1878     10                7.3              136.5  
1878     11               -0.5              153.7  
1878     12               -4.8               82.2  
1879      1               -3.2               62.2  
1879      2               -1.3              114.3  
1879      3                1.5               43.8  
1879      4                3.3              141.6  
1879      5                5.4              171.4  
1879      6               12.7              151.5  
1879      7               11.0              225.8  
1879      8               14.9              167.7  
1879      9               10.6              126.4  
1879     10                3.9               99.5  
1879     11               -2.6              216.2  
1879     12               -7.9               30.3  
1880      1               -7.5               41.7  
1880      2               -0.5               55.3  
1880      3                3.2               81.6  
1880      4                5.8              127.4  
1880      5                7.7               85.5  
1880      6               10.8              241.4  
1880      7               14.9              143.5  
1880      8               12.0              177.3  
1880      9               10.3              139.4  
1880     10                6.5              224.6  
1880     11                1.0               81.9  
1880     12                0.5              174.6  
1881      1               -6.1               32.6  
1881      2               -0.9               79.3  
1881      3                2.0              101.0  
1881      4                4.5              107.2  
1881      5                8.3               52.6  
1881      6               11.5              137.4  
1881      7               16.3              119.2  
1881      8               13.6              223.9  
1881      9                8.7              240.4  
1881     10                2.1              120.2  
1881     11                2.2               25.0  
1881     12               -2.9               56.9  
1882      1               -2.7               19.4  
1882      2               -3.1               32.5  
1882      3                2.6               69.1  
1882      4                4.8               71.1  
1882      5                9.5              110.1  
1882      6               10.9              180.9  
1882      7               12.4              169.6  
1882      8               11.2              224.4  
1882      9                8.8              286.1  
1882     10                6.7              225.2  
1882     11                0.8              149.4  
1882     12               -0.7              256.0  
1883      1               -2.1               73.0  
1883      2               -0.6               29.3  
1883      3               -3.2              109.5  
1883      4                4.2               53.5  
1883      5                9.4              127.4  
1883      6               11.7              206.7  
1883      7               12.4              224.1  
1883      8               12.7              105.1  
1883      9                9.9              174.3  
1883     10                4.4              122.0  
1883     11                0.1               71.1  
1883     12               -4.4              182.8  
1884      1               -2.0              128.4  
1884      2               -0.8               44.4  
1884      3                1.7               27.3  
1884      4                4.5               52.9  
1884      5               10.6               77.6  
1884      6                8.9              185.1  
1884      7               14.4              228.0  
1884      8               13.8              162.1  
1884      9               10.8               90.8  
1884     10                4.0               77.1  
1884     11               -1.9               38.9  
1884     12               -2.3              122.5  
1885      1               -6.8                6.2  
1885      2                1.3               84.0  
1885      3                0.7               56.6  
1885      4                6.4               58.0  
1885      5                7.1              139.2  
1885      6               13.8               74.0  
1885      7               14.5              173.5  
1885      8               12.4              174.2  
1885      9                9.6              297.5  
1885     10                3.8              236.8  
1885     11                1.3              121.1  
1885     12               -3.8               79.8  
1886      1               -4.9               59.7  
1886      2               -6.2               58.3  
1886      3               -1.3               34.6  
1886      4                6.9               85.1  
1886      5                9.5              139.6  
1886      6               10.1              183.4  
1886      7               13.9              216.4  
1886      8               13.2              161.4  
1886      9               12.2               46.8  
1886     10                8.1               99.6  
1886     11                0.4              151.9  
1886     12               -2.0              192.5  
1887      1               -7.0               23.1  
1887      2               -4.7               13.0  
1887      3               -1.4              112.9  
1887      4                4.6               48.3  
1887      5                6.8              156.0  
1887      6               13.3               73.9  
1887      7               15.7              148.8  
1887      8               13.2              180.6  
1887      9                9.3               96.2  
1887     10                1.3               95.5  
1887     11                1.4               50.7  
1887     12               -4.7              171.9  
1888      1               -6.3              110.0  
1888      2               -3.9              144.0  
1888      3               -0.9              157.8  
1888      4                2.9              142.3  
1888      5               10.5               69.3  
1888      6               12.5              132.7  
1888      7               11.6              282.6  
1888      8               11.9              215.4  
1888      9               10.8              243.6  
1888     10                2.6              162.2  
1888     11                1.9               57.3  
1888     12               -0.3                9.4  
1889      1               -5.5               33.4  
1889      2               -5.3              276.8  
1889      3               -2.2               60.9  
1889      4                3.5               82.7  
1889      5               11.2              107.1  
1889      6               13.6              200.7  
1889      7               13.3              186.5  
1889      8               12.4              181.7  
1889      9                8.3              111.3  
1889     10                5.7              297.7  
1889     11                0.5               51.0  
1889     12               -6.9               33.4  
1890      1                0.0               80.9  
1890      2               -5.7                1.8  
1890      3                0.4               55.7  
1890      4                4.4              100.1  
1890      5               10.6               78.8  
1890      6               10.7              296.0  
1890      7               11.9              234.5  
1890      8               12.4              611.9  
1890      9                9.6               61.1  
1890     10                3.5              177.6  
1890     11               -0.9              111.1  
1890     12               -7.6                9.9  
1891      1              -10.0               96.8  
1891      2               -5.5               21.7  
1891      3                0.5              150.0  
1891      4                2.3               90.4  
1891      5                9.4               99.3  
1891      6               12.4              152.3  
1891      7               12.3              366.9  
1891      8               12.0              188.6  
1891      9               10.7              152.8  
1891     10                7.6              133.0  
1891     11                0.0               91.6  
1891     12               -2.1              230.3  
1892      1               -3.8              102.1  
1892      2               -0.9              173.4  
1892      3               -2.2               66.6  
1892      4                4.7               94.8  
1892      5                9.6               53.6  
1892      6               12.1              267.8  
1892      7               13.2              222.0  
1892      8               14.9               98.6  
1892      9               10.9              218.4  
1892     10                6.1              160.4  
1892     11                2.6               34.4  
1892     12               -5.0               59.8  
1893      1               -9.2              146.3  
1893      2               -1.2              129.8  
1893      3                1.3               50.1  
1893      4                7.8               10.8  
1893      5                9.0              107.0  
1893      6               12.4              186.5  
1893      7               13.8              264.9  
1893      8               14.3               64.6  
1893      9               10.5              196.0  
1893     10                7.8               93.8  
1893     11               -0.8              107.2  
1893     12               -3.5               36.0  
1894      1               -4.0               24.0  
1894      2               -2.7              131.0  
1894      3                0.7               97.3  
1894      4                6.9               89.8  
1894      5                8.6              136.3  
1894      6               11.5              132.7  
1894      7               14.5              279.4  
1894      8               12.9              192.6  
1894      9                8.7              180.3  
1894     10                5.8               91.3  
1894     11                1.8               42.8  
1894     12               -4.8               81.6  
1895      1               -8.3              101.5  
1895      2               -9.8               27.6  
