Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Grimsel Hospiz
Altitude [m asl]:         1980 m
Coordinates:              46° 34.3' N / 8° 20.0' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2010

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1932      1               -3.1              235.6  
1932      2               -9.2               23.6  
1932      3               -5.3              168.7  
1932      4               -3.2              145.4  
1932      5                2.0              161.1  
1932      6                5.4              132.5  
1932      7                8.0              146.8  
1932      8               11.5               77.9  
1932      9                9.6               81.2  
1932     10                1.8              218.0  
1932     11               -0.2              111.4  
1932     12               -2.1                6.3  
1933      1               -8.0              120.1  
1933      2               -6.8              178.8  
1933      3               -3.2               98.4  
1933      4               -0.5              119.4  
1933      5                1.0              308.6  
1933      6                3.3              231.2  
1933      7                9.7               85.9  
1933      8               10.1               48.4  
1933      9                7.1              155.4  
1933     10                2.6              184.7  
1933     11               -4.2              149.1  
1933     12               -7.1               23.0  
1934      1               -6.0              237.3  
1934      2               -4.4               38.8  
1934      3               -4.2              140.1  
1934      4                1.0               95.4  
1934      5                4.9               60.8  
1934      6                6.4              173.1  
1934      7                9.7              110.6  
1934      8                7.4              213.1  
1934      9                7.9               55.9  
1934     10                2.3              163.7  
1934     11               -2.3              121.8  
1934     12               -2.5              135.1  
1935      1               -9.6              283.2  
1935      2               -6.4              411.3  
1935      3               -5.4              251.8  
1935      4               -2.7              290.4  
1935      5                0.8              111.0  
1935      6                8.0              104.7  
1935      7                9.5               64.5  
1935      8                8.1              180.0  
1935      9                7.6               91.3  
1935     10                1.7              410.1  
1935     11               -1.5              178.4  
1935     12               -6.8              234.1  
1936      1               -3.6              231.3  
1936      2               -6.3              181.7  
1936      3               -3.4              122.9  
1936      4               -1.3              186.8  
1936      5                3.3              118.8  
1936      6                5.9              141.7  
1936      7                7.6              208.6  
1936      8                8.8               68.4  
1936      9                5.9              235.5  
1936     10               -1.5              142.6  
1936     11               -2.1               56.5  
1936     12               -4.1              214.7  
1937      1               -4.1              140.9  
1937      2               -5.0              401.5  
