Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Col du Grand St-Bernard
Altitude [m asl]:         2472 m
Coordinates:              45° 52.1' N / 7° 10.2' E

Reference date of homogenization:
         Temperature:     01.12.2013
         Precipitation:   01.12.2010

Last inhomogeneity provisionally corrected:
         Temperature:     no
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1864      1               -9.4                 NA  
1864      2              -10.2                 NA  
1864      3               -6.8                 NA  
1864      4               -4.3                 NA  
1864      5                0.6                 NA  
1864      6                2.2                 NA  
1864      7                6.4                 NA  
1864      8                5.0                 NA  
1864      9                2.6                 NA  
1864     10               -2.6                 NA  
1864     11               -6.1                 NA  
1864     12               -7.9                 NA  
1865      1               -8.9                 NA  
1865      2              -11.8                 NA  
1865      3              -13.1                 NA  
1865      4               -0.6                 NA  
1865      5                2.0                 NA  
1865      6                4.1                 NA  
1865      7                7.2                 NA  
1865      8                5.4                 NA  
1865      9                6.4                 NA  
1865     10               -1.9                 NA  
1865     11               -4.2                 NA  
1865     12               -5.9                 NA  
1866      1               -6.1                 NA  
1866      2               -6.4                 NA  
1866      3               -8.3                 NA  
1866      4               -3.1                 NA  
1866      5               -1.5                 NA  
1866      6                4.4                 NA  
1866      7                5.5                 NA  
1866      8                3.7                 NA  
1866      9                2.8                 NA  
1866     10               -0.6                 NA  
1866     11               -5.2                 NA  
1866     12               -4.0                 NA  
1867      1               -7.9                 NA  
1867      2               -5.4                 NA  
1867      3               -6.2                 NA  
1867      4               -3.2                 NA  
1867      5                0.7                 NA  
1867      6                3.4                 NA  
1867      7                4.8                 NA  
1867      8                6.3                 NA  
1867      9                5.0                 NA  
1867     10               -3.5                 NA  
1867     11               -5.8                 NA  
1867     12              -10.7                 NA  
1868      1               -9.2                 NA  
1868      2               -6.0                 NA  
1868      3               -9.2                 NA  
1868      4               -4.7                 NA  
1868      5                4.4                 NA  
1868      6                4.7                 NA  
1868      7                6.0                 NA  
1868      8                5.9                 NA  
1868      9                4.4                 NA  
1868     10               -2.0                 NA  
1868     11               -6.7                 NA  
1868     12               -4.6                 NA  
1869      1               -9.2                 NA  
1869      2               -4.4                 NA  
1869      3              -11.1                 NA  
1869      4               -2.5                 NA  
1869      5                1.8                 NA  
1869      6                1.1                 NA  
1869      7                8.6                 NA  
1869      8                4.9                 NA  
1869      9                4.1                 NA  
1869     10               -3.6                 NA  
1869     11               -4.8                 NA  
1869     12               -9.9                 NA  
1870      1              -10.1                 NA  
1870      2               -8.9                 NA  
1870      3               -8.2                 NA  
1870      4               -4.3                 NA  
1870      5                2.0                 NA  
1870      6                4.2                 NA  
1870      7                7.4                 NA  
1870      8                2.9                 NA  
1870      9                2.9                 NA  
1870     10               -2.4                 NA  
1870     11               -6.5                 NA  
1870     12              -11.4                 NA  
1871      1              -12.7                 NA  
1871      2               -6.1                 NA  
1871      3               -6.3                 NA  
1871      4               -3.3                 NA  
1871      5                0.0                 NA  
1871      6               -0.1                 NA  
1871      7                6.4                 NA  
1871      8                6.6                 NA  
1871      9                5.1                 NA  
1871     10               -1.9                 NA  
1871     11               -8.3                 NA  
1871     12              -11.0                 NA  
1872      1               -8.9                 NA  
1872      2               -7.3                 NA  
1872      3               -6.6                 NA  
1872      4               -2.9                 NA  
1872      5               -1.5                 NA  
1872      6                3.3                 NA  
1872      7                6.9                 NA  
1872      8                5.1                 NA  
1872      9                4.4                 NA  
1872     10               -1.7                 NA  
1872     11               -4.8                 NA  
1872     12               -6.7                 NA  
1873      1               -7.3                 NA  
1873      2               -9.3                 NA  
1873      3               -5.3                 NA  
1873      4               -6.2                 NA  
1873      5               -2.0                 NA  
1873      6                2.6                 NA  
1873      7                7.9                 NA  
1873      8                7.1                 NA  
1873      9                3.3                 NA  
1873     10               -0.6                 NA  
1873     11               -4.8                 NA  
1873     12               -4.9                 NA  
1874      1               -6.4                 NA  
1874      2               -9.5                 NA  
1874      3               -7.8                 NA  
1874      4               -2.8                 NA  
1874      5               -3.7                 NA  
1874      6                4.1                 NA  
1874      7                8.1                 NA  
1874      8                5.1                 NA  
1874      9                4.8                 NA  
1874     10               -0.2                 NA  
1874     11               -7.2                 NA  
1874     12              -11.7                 NA  
1875      1               -5.5                 NA  
1875      2              -11.3                 NA  
1875      3               -7.9                 NA  
1875      4               -4.2                 NA  
1875      5                2.6                 NA  
1875      6                4.0                 NA  
1875      7                4.8                 NA  
1875      8                7.6                 NA  
1875      9                4.6                 NA  
1875     10               -2.2                 NA  
1875     11               -7.1                 NA  
1875     12               -8.6                 NA  
1876      1               -7.9                 NA  
1876      2               -7.7                 NA  
1876      3               -7.8                 NA  
1876      4               -4.4                 NA  
1876      5               -2.1                 NA  
1876      6                3.0                 NA  
1876      7                6.8                 NA  
1876      8                6.4                 NA  
1876      9                1.8                 NA  
1876     10                1.7                 NA  
1876     11               -7.2                 NA  
1876     12               -5.5                 NA  
1877      1               -7.9                 NA  
1877      2               -8.5                 NA  
1877      3               -8.9                 NA  
1877      4               -4.7                 NA  
1877      5               -2.3                 NA  
1877      6                6.1                 NA  
1877      7                5.4                 NA  
1877      8                7.9                 NA  
1877      9                1.7                 NA  
1877     10               -3.2                 NA  
1877     11               -3.5                 NA  
1877     12               -8.3                 NA  
1878      1              -10.3                 NA  
1878      2               -5.0                 NA  
1878      3               -9.1                 NA  
1878      4               -3.4                 NA  
1878      5                0.9                 NA  
1878      6                3.2                 NA  
1878      7                5.6                 NA  
1878      8                6.6                 NA  
1878      9                4.7                 NA  
1878     10               -0.8                 NA  
1878     11               -9.1                 NA  
1878     12              -11.9                 NA  
1879      1               -8.5                 NA  
1879      2               -8.7                 NA  
1879      3               -5.6                 NA  
1879      4               -6.7                 NA  
1879      5               -3.8                 NA  
1879      6                3.9                 NA  
1879      7                3.3                 NA  
1879      8                9.1                 NA  
1879      9                3.3                 NA  
1879     10               -0.4                 NA  
1879     11               -8.1                 NA  
1879     12              -10.1                 NA  
1880      1               -8.5                 NA  
1880      2               -6.8                 NA  
1880      3               -3.3                 NA  
1880      4               -3.4                 NA  
1880      5               -0.6                 NA  
1880      6                1.8                 NA  
1880      7                7.8                 NA  
1880      8                4.8                 NA  
1880      9                4.4                 NA  
1880     10                0.0                 NA  
1880     11               -3.6                 NA  
1880     12               -4.6                 NA  
1881      1              -11.1                 NA  
1881      2               -7.6                 NA  
1881      3               -4.4                 NA  
1881      4               -4.1                 NA  
1881      5               -0.8                 NA  
1881      6                2.4                 NA  
1881      7                8.7                 NA  
1881      8                6.9                 NA  
1881      9                1.7                 NA  
1881     10               -4.7                 NA  
1881     11               -0.4                 NA  
1881     12               -7.1                 NA  
1882      1               -3.4                 NA  
1882      2               -6.0                 NA  
1882      3               -3.9                 NA  
1882      4               -4.5                 NA  
1882      5                0.6                 NA  
1882      6                2.7                 NA  
1882      7                4.5                 NA  
1882      8                4.5                 NA  
1882      9                0.9                 NA  
1882     10               -1.7                 NA  
1882     11               -5.8                 NA  
1882     12               -7.0                 NA  
1883      1               -8.1                 NA  
1883      2               -6.2                 NA  
1883      3              -10.8                 NA  
1883      4               -6.0                 NA  
1883      5               -0.1                 NA  
1883      6                2.5                 NA  
1883      7                3.8                 NA  
1883      8                6.1                 NA  
1883      9                1.7                 NA  
1883     10               -1.5                 NA  
1883     11               -4.7                 NA  
1883     12               -7.0                 NA  
1884      1               -5.4                 NA  
1884      2               -6.3                 NA  
1884      3               -5.9                 NA  
1884      4               -4.7                 NA  
1884      5                1.2                 NA  
1884      6               -0.2                 NA  
1884      7                6.1                 NA  
1884      8                6.2                 NA  
1884      9                3.1                 NA  
1884     10               -2.7                 NA  
1884     11               -6.3                 NA  
1884     12               -6.3                 NA  
1885      1               -9.7                 NA  
1885      2               -5.1                 NA  
1885      3               -6.4                 NA  
1885      4               -3.9                 NA  
1885      5               -2.0                 NA  
1885      6                4.7                 NA  
1885      7                7.0                 NA  
1885      8                5.6                 NA  
1885      9                3.0                 NA  
1885     10               -4.2                 NA  
1885     11               -3.6                 NA  
1885     12               -6.8                 NA  
1886      1              -10.7                 NA  
1886      2               -9.7                 NA  
1886      3               -7.4                 NA  
1886      4               -3.2                 NA  
1886      5                0.0                 NA  
1886      6                1.4                 NA  
1886      7                6.5                 NA  
1886      8                5.9                 NA  
1886      9                5.0                 NA  
1886     10               -0.3                 NA  
1886     11               -4.7                 NA  
1886     12               -9.7                 NA  
1887      1               -8.4                 NA  
1887      2               -9.1                 NA  
1887      3               -6.8                 NA  
1887      4               -5.1                 NA  
1887      5               -2.9                 NA  
1887      6                4.8                 NA  
1887      7                7.6                 NA  
1887      8                6.0                 NA  
1887      9                3.3                 NA  
1887     10               -4.9                 NA  
1887     11               -6.6                 NA  
1887     12              -10.8                 NA  
1888      1               -8.6                 NA  
1888      2              -10.8                 NA  
1888      3               -8.8                 NA  
1888      4               -6.0                 NA  
1888      5                0.8                 NA  
1888      6                3.5                 NA  
1888      7                3.2                 NA  
1888      8                4.7                 NA  
1888      9                3.3                 NA  
1888     10               -1.8                 NA  
1888     11               -3.8                 NA  
1888     12               -4.7                 NA  
1889      1               -7.8                 NA  
1889      2              -11.7                 NA  
1889      3              -10.1                 NA  
1889      4               -6.1                 NA  
1889      5                0.6                 NA  
1889      6                4.1                 NA  
1889      7                5.1                 NA  
1889      8                5.4                 NA  
1889      9                2.2                 NA  
1889     10               -2.5                 NA  
1889     11               -3.4                 NA  
1889     12               -9.0                 NA  
1890      1               -4.8                 NA  
1890      2              -10.0                 NA  
1890      3               -7.5                 NA  
1890      4               -5.5                 NA  
1890      5               -0.2                 NA  
1890      6                2.6                 NA  
1890      7                4.1                 NA  
1890      8                5.4                 NA  
1890      9                2.7                 NA  
1890     10               -2.1                 NA  
1890     11               -6.7                 NA  
1890     12              -10.0                 NA  
1891      1              -11.3                 NA  
1891      2               -6.2                 NA  
1891      3               -8.8                 NA  
1891      4               -6.6                 NA  
1891      5               -1.0                 NA  
1891      6                2.9                 NA  
1891      7                4.9                 NA  
1891      8                4.3                 NA  
1891      9                4.4                 NA  
1891     10               -0.2                 NA  
1891     11               -4.9                 NA  
1891     12               -5.7                 NA  
1892      1               -8.7                 NA  
1892      2               -8.5                 NA  
1892      3               -9.2                 NA  
1892      4               -3.6                 NA  
1892      5               -0.1                 NA  
1892      6                4.2                 NA  
1892      7                5.8                 NA  
1892      8                7.1                 NA  
1892      9                4.1                 NA  
1892     10               -3.1                 NA  
1892     11               -3.1                 NA  
1892     12               -8.6                 NA  
1893      1              -12.3                 NA  
1893      2               -8.2                 NA  
1893      3               -4.8                 NA  
1893      4               -1.0                 NA  
1893      5               -0.6                 NA  
1893      6                3.3                 NA  
1893      7                5.4                 NA  
