Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Jungfraujoch
Altitude [m asl]:         3571 m
Coordinates:              46° 32.9' N / 7° 59.1' E

Reference date of homogenization:
         Temperature:     01.12.2019

Last inhomogeneity provisionally corrected:
         Temperature:     no

Units:
         Temperature:     °C

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature  
1933      1              -16.9  
1933      2              -15.2  
1933      3              -12.4  
1933      4               -9.7  
1933      5               -8.3  
1933      6               -5.1  
1933      7                0.5  
1933      8                0.3  
1933      9               -2.6  
1933     10               -7.2  
1933     11              -13.4  
1933     12              -14.2  
1934      1              -14.0  
1934      2              -11.4  
1934      3              -13.3  
1934      4               -8.9  
1934      5               -4.3  
1934      6               -2.5  
1934      7                0.0  
1934      8               -1.0  
1934      9               -1.7  
1934     10               -6.2  
1934     11              -10.5  
1934     12              -10.4  
1935      1              -16.9  
1935      2              -15.1  
1935      3              -14.5  
1935      4              -12.6  
1935      5               -7.8  
1935      6               -1.5  
1935      7               -0.6  
1935      8               -1.7  
1935      9               -2.0  
1935     10               -6.9  
1935     11              -10.3  
1935     12              -15.2  
1936      1              -12.2  
1936      2              -14.5  
1936      3              -12.1  
1936      4              -10.9  
1936      5               -5.3  
1936      6               -3.7  
1936      7               -1.6  
1936      8               -0.9  
1936      9               -3.9  
1936     10               -9.2  
1936     11              -11.7  
1936     12              -11.9  
1937      1              -11.9  
1937      2              -13.7  
1937      3              -14.5  
1937      4              -11.6  
1937      5               -5.7  
1937      6               -3.1  
1937      7               -0.7  
1937      8               -1.8  
1937      9               -4.7  
1937     10               -6.6  
1937     11              -10.8  
1937     12              -15.6  
1938      1              -14.6  
1938      2              -14.4  
1938      3               -9.8  
1938      4              -14.3  
1938      5               -8.1  
1938      6               -1.2  
1938      7               -1.7  
1938      8               -1.3  
1938      9               -3.0  
1938     10               -4.9  
1938     11               -6.6  
1938     12              -14.4  
1939      1              -13.3  
1939      2              -11.4  
1939      3              -18.0  
1939      4               -8.9  
1939      5               -8.8  
1939      6               -2.4  
1939      7               -1.9  
1939      8               -1.1  
1939      9               -3.8  
1939     10               -9.1  
1939     11               -8.3  
1939     12              -15.0  
1940      1              -14.9  
1940      2              -13.5  
1940      3              -13.5  
1940      4              -10.9  
1940      5               -7.4  
1940      6               -3.9  
1940      7               -3.0  
1940      8               -2.1  
1940      9               -3.2  
1940     10               -6.8  
1940     11              -10.5  
1940     12              -16.4  
1941      1              -15.6  
1941      2              -14.9  
1941      3              -12.4  
1941      4              -11.2  
1941      5               -9.7  
1941      6               -3.0  
1941      7               -0.8  
1941      8               -2.6  
1941      9               -2.8  
1941     10               -9.8  
1941     11              -10.7  
1941     12              -13.7  
1942      1              -18.4  
1942      2              -17.7  
1942      3              -10.2  
1942      4               -9.9  
1942      5               -6.6  
1942      6               -2.3  
1942      7               -1.3  
1942      8               -0.7  
1942      9               -1.6  
1942     10               -4.4  
1942     11              -11.4  
1942     12              -11.2  
1943      1              -13.7  
1943      2              -13.9  
1943      3              -11.1  
1943      4               -9.2  
1943      5               -5.0  
1943      6               -4.4  
