Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Luzern
Altitude [m asl]:         454 m
Coordinates:              47° 2.2' N / 8° 18.1' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2012

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1864      1                 NA               34.1  
1864      2                 NA               20.4  
1864      3                 NA               56.4  
1864      4                 NA              124.6  
1864      5                 NA              130.2  
1864      6                 NA              174.3  
1864      7                 NA              131.3  
1864      8                 NA               62.0  
1864      9                 NA               89.9  
1864     10                 NA               28.1  
1864     11                 NA               62.0  
1864     12                 NA                3.8  
1865      1                 NA               59.9  
1865      2                 NA               65.8  
1865      3                 NA               63.9  
1865      4                 NA                0.9  
1865      5                 NA               77.8  
1865      6                 NA               49.7  
1865      7                 NA              147.2  
1865      8                 NA              191.2  
1865      9                 NA                0.0  
1865     10                 NA               68.0  
1865     11                 NA               81.7  
1865     12                 NA                9.4  
1866      1                 NA               25.8  
1866      2                 NA              114.0  
1866      3                 NA              130.7  
1866      4                 NA               89.8  
1866      5                 NA              105.7  
1866      6                 NA               69.9  
1866      7                 NA               73.6  
1866      8                 NA              250.5  
1866      9                 NA               92.6  
1866     10                 NA               26.3  
1866     11                 NA               81.7  
1866     12                 NA               72.5  
1867      1                 NA              155.7  
1867      2                 NA               60.2  
1867      3                 NA              107.2  
1867      4                 NA              109.0  
1867      5                 NA              161.7  
1867      6                 NA              141.5  
1867      7                 NA               61.9  
1867      8                 NA              115.2  
1867      9                 NA              118.6  
1867     10                 NA              168.7  
1867     11                 NA               28.2  
1867     12                 NA               60.3  
1868      1                 NA               37.8  
1868      2                 NA               13.9  
1868      3                 NA               82.7  
1868      4                 NA               77.9  
1868      5                 NA               27.1  
1868      6                 NA              106.1  
1868      7                 NA              150.5  
1868      8                 NA               86.4  
1868      9                 NA               82.7  
1868     10                 NA              158.8  
1868     11                 NA               26.3  
