Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Meiringen
Altitude [m asl]:         589 m
Coordinates:              46° 43.9' N / 8° 10.2' E

Reference date of homogenization:
         Temperature:     01.12.2014
         Precipitation:   01.12.2012

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1889      7               16.1              181.7  
1889      8               15.2              116.5  
1889      9               11.1               98.0  
1889     10                6.9              187.0  
1889     11                0.6               73.6  
1889     12               -5.7               38.5  
1890      1               -1.6               66.0  
1890      2               -4.0                3.8  
1890      3                2.4               51.8  
1890      4                6.8              125.7  
1890      5               13.1               80.0  
1890      6               14.4              163.5  
1890      7               15.1              144.4  
1890      8               15.1              320.1  
1890      9               12.4               31.3  
1890     10                5.2              136.2  
1890     11                1.0               81.1  
1890     12               -6.1               30.5  
1891      1               -8.6               45.7  
1891      2               -5.1                7.3  
1891      3                2.3               76.0  
1891      4                5.0               93.7  
1891      5               11.7              116.2  
1891      6               15.4              131.4  
1891      7               15.5              282.6  
1891      8               14.6              145.7  
1891      9               12.9               80.8  
1891     10                8.4               90.4  
1891     11                1.6               75.9  
1891     12               -2.7              161.5  
1892      1               -3.2               79.9  
1892      2                0.3              107.8  
1892      3                0.7               27.9  
1892      4                6.9               85.6  
1892      5               12.2               58.0  
1892      6               15.4              147.3  
1892      7               16.2              178.1  
1892      8               16.8              170.5  
1892      9               12.4              136.4  
1892     10                7.8               90.6  
1892     11                3.5               31.6  
1892     12               -4.7               63.1  
1893      1               -7.9               71.0  
1893      2               -0.1              106.8  
1893      3                4.0               27.3  
1893      4               10.8                5.2  
1893      5               12.0              114.8  
1893      6               15.2              157.5  
1893      7               16.4              253.9  
1893      8               16.9               90.7  
1893      9               12.8              134.4  
1893     10                9.0               80.0  
1893     11                1.1               89.2  
1893     12               -2.9               29.0  
1894      1               -4.5               24.6  
1894      2               -2.0               85.1  
1894      3                3.3               70.8  
1894      4                9.5               59.4  
1894      5               11.1              128.8  
1894      6               14.7              110.9  
1894      7               17.5              184.0  
1894      8               15.3              199.6  
1894      9               11.4               90.0  
1894     10                7.5              114.6  
1894     11                2.9               37.0  
1894     12               -4.0               88.3  
1895      1               -6.6               79.5  
1895      2               -8.1               56.0  
1895      3                1.1              113.3  
1895      4                8.1               75.9  
1895      5               11.8              105.0  
1895      6               15.7              124.8  
1895      7               17.7              113.6  
1895      8               15.6              167.8  
1895      9               15.5               13.2  
1895     10                6.3              154.6  
1895     11                4.1               66.3  
1895     12               -1.5              172.4  
1896      1               -6.2               44.2  
1896      2               -3.9               37.3  
1896      3                4.6              234.8  
1896      4                4.9              171.9  
1896      5               10.0               62.4  
1896      6               14.8              163.5  
1896      7               16.7              211.5  
1896      8               13.4              211.2  
1896      9               11.5              201.4  
1896     10                6.0              187.1  
1896     11                0.4               70.9  
1896     12               -1.1               46.9  
1897      1               -2.4               25.9  
1897      2                1.4              185.3  
1897      3                5.4               81.0  
1897      4                6.8               92.4  
1897      5               10.1              118.6  
1897      6               16.2              101.1  
1897      7               17.3              142.2  
1897      8               15.6              243.7  
1897      9               11.2              269.9  
1897     10                5.9               24.7  
1897     11                1.0               36.9  
1897     12               -2.8               58.0  
1898      1               -2.5               19.1  
1898      2               -1.4              203.9  
1898      3                1.6               71.5  
1898      4                7.4              101.2  
1898      5               10.7              138.2  
1898      6               13.6              214.2  
1898      7               15.3              200.5  
1898      8               17.1               88.1  
1898      9               14.3               61.0  
1898     10                8.9              128.0  
1898     11                3.9              117.8  
1898     12               -3.8               77.8  
1899      1               -0.9              185.9  
1899      2               -0.1               19.6  
1899      3                2.7               45.8  
1899      4                6.6              142.8  
1899      5               11.0              143.7  
1899      6               15.4               94.7  
1899      7               16.8               97.0  
1899      8               17.0              108.2  
1899      9               12.3              167.0  
1899     10                8.2               67.5  
1899     11                2.2               25.0  
1899     12               -3.6               92.1  
1900      1               -1.5              143.4  
1900      2                1.2              100.8  
1900      3               -0.2               71.1  
1900      4                6.1               99.9  
1900      5               10.9              130.6  
1900      6               16.1               87.4  
1900      7               17.4              239.5  
1900      8               15.1              129.4  
1900      9               14.5               36.5  
1900     10                7.6               82.3  
1900     11                3.6               75.7  
1900     12               -1.2              115.9  
1901      1               -3.9               88.6  
1901      2               -6.4               43.6  
1901      3                1.3               97.4  
1901      4                7.3              230.3  
1901      5               11.7               58.2  
1901      6               15.5              176.1  
1901      7               17.2              166.2  
1901      8               15.3              217.6  
1901      9               13.6              190.1  
1901     10                7.3              106.6  
1901     11               -0.3               35.4  
1901     12               -1.6               86.1  
1902      1               -2.6               64.5  
1902      2               -1.7               70.1  
1902      3                2.2              213.1  
1902      4                9.6               53.6  
1902      5                7.9              154.6  
1902      6               14.1               94.8  
1902      7               16.8              162.1  
1902      8               14.9              171.3  
1902      9               12.6              133.9  
1902     10                6.9              139.1  
1902     11                2.0               20.9  
1902     12               -2.5              149.2  
1903      1               -3.2               41.5  
1903      2               -0.9               48.1  
1903      3                4.1               99.2  
1903      4                4.1              144.9  
1903      5               12.1              111.0  
1903      6               14.3              113.7  
1903      7               15.6              232.0  
1903      8               15.6              178.5  
1903      9               12.6               84.4  
1903     10                8.0              159.0  
1903     11                1.9              113.6  
1903     12               -2.4               56.2  
1904      1               -4.5               57.2  
1904      2               -0.1              110.8  
1904      3                3.1               76.2  
1904      4                9.0              141.9  
1904      5               12.5              178.0  
1904      6               15.9              137.6  
1904      7               18.6               65.2  
1904      8               16.6              119.2  
1904      9               11.3              137.6  
1904     10                7.4               83.2  
1904     11                0.6               55.4  
1904     12               -2.3               92.1  
1905      1               -5.3               99.4  
1905      2               -2.6               41.9  
1905      3                3.3              122.2  
1905      4                7.7              155.9  
1905      5               10.5              132.7  
1905      6               16.0              111.1  
1905      7               18.9              158.3  
1905      8               15.9              268.0  
1905      9               13.2              168.6  
1905     10                3.3              158.9  
1905     11                2.7              133.4  
1905     12               -3.6               47.9  
1906      1               -2.7               69.3  
1906      2               -2.8               97.8  
1906      3                1.1               92.9  
1906      4                7.1               68.9  
1906      5               11.1              143.1  
1906      6               14.2              107.3  
1906      7               16.6              141.2  
1906      8               16.3              141.4  
1906      9               11.9               73.0  
1906     10                9.6               41.2  
1906     11                3.5              102.8  
1906     12               -5.0              134.0  
1907      1               -3.6              151.5  
1907      2               -4.8               61.6  
1907      3                0.7              131.1  
1907      4                5.9               96.4  
1907      5               12.8               90.0  
1907      6               15.1              108.7  
1907      7               15.1              189.8  
1907      8               16.6              123.9  
1907      9               13.6               44.6  
1907     10                9.8              131.7  
1907     11                3.5               20.4  
1907     12               -0.6              118.1  
1908      1               -5.6               59.6  
1908      2               -1.7              155.0  
1908      3                1.6               53.4  
1908      4                5.6               97.3  
1908      5               13.4              162.2  
1908      6               17.1               63.7  
1908      7               16.1              269.6  
1908      8               15.0              128.3  
1908      9               12.0              158.0  
1908     10                7.7               15.0  
1908     11                0.8               93.3  
1908     12               -2.2               61.2  
1909      1               -5.6               49.4  
1909      2               -3.6               30.2  
1909      3                1.2               66.3  
1909      4                9.0               81.1  
1909      5               11.2              119.8  
1909      6               13.8              229.6  
1909      7               14.6              213.5  
1909      8               15.6              178.2  
1909      9               12.0               86.3  
1909     10                8.7              107.6  
1909     11                0.4               62.6  
1909     12                0.5              143.9  
1910      1               -2.5              198.0  
1910      2               -0.5              134.5  
1910      3                3.5               20.7  
1910      4                7.0              124.9  
1910      5               10.8              120.4  
1910      6               15.3              211.1  
1910      7               14.7              175.1  
1910      8               14.9              266.9  
1910      9               10.5              168.9  
1910     10                8.6              100.7  
1910     11                1.5              185.5  
1910     12                2.1              102.1  
1911      1               -7.1               27.5  
1911      2               -2.2               69.4  
1911      3                3.9              138.2  
1911      4                6.5               71.2  
1911      5               12.0               94.9  
1911      6               14.5              215.1  
1911      7               18.8               51.2  
1911      8               18.5              105.1  
1911      9               14.5              122.8  
1911     10                7.8              105.0  
1911     11                3.7               68.0  
1911     12                0.6              116.5  
1912      1               -0.3               96.4  
1912      2                2.7               67.2  
1912      3                5.5               92.2  
1912      4                6.4               49.7  
1912      5               12.4              176.9  
1912      6               15.0              234.1  
1912      7               15.6              154.0  
1912      8               13.3              202.3  
1912      9                8.2               90.5  
1912     10                6.1              145.8  
1912     11               -0.5               88.4  
1912     12               -3.0               70.6  
1913      1               -1.4               92.1  
1913      2               -1.6               28.7  
1913      3                5.3               66.1  
1913      4                6.9               91.1  
1913      5               11.4              136.5  
1913      6               14.5              234.3  
1913      7               13.7              223.5  
1913      8               15.0              169.7  
1913      9               11.9              131.8  
1913     10               10.1               23.4  
1913     11                4.5              119.6  
1913     12               -2.3              124.1  
1914      1               -7.2              163.9  
1914      2               -0.1               69.4  
1914      3                3.0              240.2  
1914      4                9.4               60.9  
1914      5               10.2              166.9  
1914      6               13.5              153.5  
1914      7               15.0              228.7  
1914      8               15.4              191.6  
1914      9               11.9               73.0  
1914     10                7.5              124.1  
1914     11                1.1               82.0  
1914     12                0.5               41.7  
1915      1               -2.2              128.4  
1915      2               -1.8               57.8  
1915      3                1.6              126.7  
1915      4                5.7               87.6  
1915      5               13.9               74.3  
1915      6               16.6              101.5  
1915      7               15.2              206.5  
1915      8               14.4              133.6  
1915      9               11.0              176.6  
1915     10                5.5               32.9  
1915     11               -0.4               54.7  
1915     12                1.2               92.9  
1916      1               -1.1               92.3  
1916      2                0.2              142.6  
1916      3                3.8               98.6  
1916      4                7.1              181.9  
1916      5               12.5               97.2  
1916      6               12.7              209.7  
1916      7               15.4              123.1  
1916      8               15.0              125.1  
1916      9               10.6              135.3  
1916     10                7.3              151.0  
1916     11                2.7              105.1  
1916     12               -1.1              159.2  
1917      1               -4.1               67.2  
1917      2               -3.9               11.1  
1917      3                0.9               74.9  
1917      4                4.0              122.2  
1917      5               15.1               37.8  
1917      6               16.5              114.6  
1917      7               15.8              224.6  
1917      8               14.8              200.0  
1917      9               14.0               53.4  
1917     10                5.7              248.5  
1917     11                0.7              110.7  
1917     12               -4.9               45.9  
1918      1               -2.2               61.8  
1918      2               -1.2               32.9  
1918      3                2.5               87.7  
1918      4                7.9               85.7  
1918      5               13.1               45.7  
1918      6               13.0              247.8  
1918      7               16.4               74.5  
1918      8               15.3              170.1  
1918      9               12.1              180.7  
1918     10                6.3               74.5  
1918     11                2.1               64.6  
1918     12               -0.2              322.5  
1919      1               -1.5              108.6  
1919      2               -2.1               74.6  
1919      3                3.1              136.8  
1919      4                4.5              169.2  
1919      5               11.3               72.8  
1919      6               14.7              146.5  
1919      7               13.3              215.0  
1919      8               16.9               42.8  
1919      9               14.1               73.6  
1919     10                4.1              138.9  
1919     11                0.5              132.2  
1919     12               -2.0              271.9  
1920      1               -0.4              142.2  
1920      2                1.5               23.4  
1920      3                5.7               59.1  
1920      4                8.3               96.0  
1920      5               14.3              119.2  
1920      6               14.2              140.0  
1920      7               15.8              173.5  
1920      8               14.2               86.5  
1920      9               12.6              128.7  
1920     10                8.0                7.1  
1920     11                2.1                1.6  
1920     12               -2.7               55.0  
1921      1                0.0               88.2  
1921      2               -1.2               20.1  
1921      3                4.6               61.4  
1921      4                6.3               79.2  
1921      5               12.8               73.9  
1921      6               15.2              173.0  
