Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Neuchâtel
Altitude [m asl]:         485 m
Coordinates:              47° 0.0' N / 6° 57.2' E

Reference date of homogenization:
         Temperature:     01.12.2009
         Precipitation:   01.12.2010

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1864      1               -5.2               20.4  
1864      2               -0.2               22.3  
1864      3                5.0               68.2  
1864      4                7.9               35.5  
1864      5               13.0               75.8  
1864      6               14.6              198.4  
1864      7               18.1               35.9  
1864      8               16.5               55.8  
1864      9               12.8               79.0  
1864     10                7.0               63.0  
1864     11                2.9               80.4  
1864     12               -3.1               10.1  
1865      1                0.9               92.9  
1865      2               -1.4               78.0  
1865      3               -0.4               41.7  
1865      4               12.7               12.7  
1865      5               15.0               67.5  
1865      6               17.0               39.6  
1865      7               19.2               96.2  
1865      8               15.8              130.4  
1865      9               16.9                0.0  
1865     10                9.7              196.3  
1865     11                4.8               66.7  
1865     12               -1.1               13.1  
1866      1                2.7               58.8  
1866      2                4.4              124.1  
1866      3                4.2              131.9  
1866      4                9.5               66.4  
1866      5               10.4              154.0  
1866      6               17.9               30.9  
1866      7               17.8               65.1  
1866      8               15.2              153.7  
1866      9               14.4               75.5  
1866     10                9.4               54.1  
1866     11                4.4               84.8  
1866     12                2.8               82.0  
1867      1               -0.1              137.1  
1867      2                5.6               39.0  
1867      3                4.1              124.9  
1867      4                8.3              151.0  
1867      5               12.8               63.9  
1867      6               16.1              157.0  
1867      7               16.8               40.9  
1867      8               18.4               66.2  
1867      9               15.1               73.2  
1867     10                6.9              112.7  
1867     11                2.0                8.7  
1867     12               -1.2               30.7  
1868      1               -1.3               40.9  
1868      2                3.2                4.8  
1868      3                3.4               73.9  
1868      4                7.5               63.0  
1868      5               17.9               20.2  
1868      6               18.1               38.0  
1868      7               19.1               87.0  
1868      8               18.1              106.5  
1868      9               16.3              147.5  
1868     10                9.1               74.1  
