Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Locarno / Monti
Altitude [m asl]:         367 m
Coordinates:              46° 10.3' N / 8° 47.2' E

Reference date of homogenization:
         Temperature:     01.12.2010
         Precipitation:   01.12.2010

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1882     12                3.9                 NA  
1883      1                2.5              166.9  
1883      2                6.4               45.8  
1883      3                4.3               65.9  
1883      4               10.2              157.3  
1883      5               14.5              246.1  
1883      6               17.0              212.0  
1883      7               18.9              255.9  
1883      8               19.5              142.4  
1883      9               15.7              257.0  
1883     10               10.2               81.4  
1883     11                5.8               42.8  
1883     12                2.6                6.5  
1884      1                3.8               11.0  
1884      2                4.6               24.9  
1884      3                9.4               16.1  
1884      4               11.1              205.8  
1884      5               16.4              237.4  
1884      6               16.2              160.6  
1884      7               21.7              198.0  
1884      8               21.2              100.4  
1884      9               16.8              219.9  
1884     10               10.7               41.6  
1884     11                5.3                4.6  
1884     12                4.2               62.3  
1885      1                1.1               90.2  
1885      2                4.8              172.5  
1885      3                7.9              109.0  
1885      4               11.1              380.3  
1885      5               12.8              196.4  
1885      6               20.3               33.6  
1885      7               21.5              186.7  
1885      8               19.5              137.7  
1885      9               15.8              381.6  
1885     10                9.4              489.2  
1885     11                7.1              139.5  
1885     12                2.7               13.3  
1886      1                1.8              200.1  
1886      2                2.5               37.8  
1886      3                6.1               29.6  
1886      4               11.3              227.9  
1886      5               14.9              342.5  
1886      6               17.2               95.3  
1886      7               20.4              234.5  
1886      8               19.2              214.3  
1886      9               17.8               63.6  
1886     10               11.8              404.4  
1886     11                6.7              443.5  
1886     12                2.6              299.1  
1887      1                0.0               93.6  
1887      2                1.8                6.6  
