Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Payerne
Altitude [m asl]:         490 m
Coordinates:              46° 48.7' N / 6° 56.5' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1964      8               17.0               68.0  
1964      9               14.1               49.7  
1964     10                7.7               84.2  
1964     11                4.8               37.3  
1964     12               -0.9               17.5  
1965      1               -0.1               43.3  
1965      2               -2.8                9.3  
1965      3                3.3               91.7  
1965      4                6.7               59.8  
1965      5               11.5               83.6  
1965      6               15.8               61.1  
1965      7               16.1              219.9  
1965      8               15.7               85.7  
1965      9               11.5              148.7  
1965     10                8.5               32.8  
1965     11                4.0              122.8  
1965     12                2.7              136.9  
1966      1               -2.7               58.5  
1966      2                4.7               88.6  
1966      3                3.4               40.8  
1966      4                9.3              107.1  
1966      5               12.7               88.6  
1966      6               16.9               39.5  
1966      7               16.1              101.6  
1966      8               15.7               96.4  
1966      9               14.8               42.2  
1966     10               11.4               61.5  
1966     11                1.8               56.9  
1966     12                1.7               76.6  
1967      1               -0.5               43.1  
1967      2                2.0               51.6  
1967      3                5.6               82.1  
1967      4                6.9               14.4  
1967      5               11.4              103.2  
1967      6               14.5               53.2  
1967      7               19.2               35.7  
1967      8               17.1               85.5  
1967      9               13.3               77.4  
1967     10               11.1               45.1  
1967     11                3.9              141.9  
1967     12               -1.2               44.1  
1968      1               -0.9               75.0  
1968      2                1.5               54.0  
1968      3                4.6               28.8  
1968      4                8.9               78.4  
1968      5               11.2               74.6  
1968      6               15.2               41.2  
1968      7               16.8              113.0  
1968      8               15.1              257.4  
1968      9               12.7              146.8  
1968     10               11.1               32.2  
1968     11                3.4               46.9  
1968     12               -0.3               57.2  
1969      1               -0.3               41.6  
1969      2               -1.4               44.7  
1969      3                3.8               53.3  
1969      4                7.5               71.4  
1969      5               12.7               67.2  
1969      6               13.4              121.5  
1969      7               18.3               49.6  
1969      8               16.5               76.3  
1969      9               14.1               77.4  
1969     10                9.2                3.1  
1969     11                4.5               78.4  
1969     12               -3.4               24.4  
1970      1               -1.8               58.0  
