Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Säntis
Altitude [m asl]:         2501 m
Coordinates:              47° 15.0' N / 9° 20.6' E

Reference date of homogenization:
         Temperature:     01.12.2017
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1864      1               -9.2                 NA  
1864      2               -9.5                 NA  
1864      3               -6.5                 NA  
1864      4               -5.9                 NA  
1864      5               -0.8                 NA  
1864      6                1.2                 NA  
1864      7                3.9                 NA  
1864      8                3.1                 NA  
1864      9                2.1                 NA  
1864     10               -2.1                 NA  
1864     11               -6.1                 NA  
1864     12               -6.7                 NA  
1865      1               -9.0                 NA  
1865      2              -12.2                 NA  
1865      3              -13.5                 NA  
1865      4                0.6                 NA  
1865      5                3.4                 NA  
1865      6                2.1                 NA  
1865      7                6.0                 NA  
1865      8                3.6                 NA  
1865      9                6.5                 NA  
1865     10               -0.9                 NA  
1865     11               -3.6                 NA  
1865     12               -5.0                 NA  
1866      1               -5.9                 NA  
1866      2               -6.8                 NA  
1866      3               -8.0                 NA  
1866      4               -2.8                 NA  
1866      5               -3.3                 NA  
1866      6                4.1                 NA  
1866      7                3.9                 NA  
1866      8                1.9                 NA  
1866      9                3.4                 NA  
1866     10                0.3                 NA  
1866     11               -6.5                 NA  
1866     12               -4.4                 NA  
1867      1               -9.1                 NA  
1867      2               -5.5                 NA  
1867      3               -6.7                 NA  
1867      4               -4.5                 NA  
1867      5                0.2                 NA  
1867      6                2.4                 NA  
1867      7                3.0                 NA  
1867      8                5.8                 NA  
1867      9                4.0                 NA  
1867     10               -2.8                 NA  
1867     11               -6.5                 NA  
1867     12              -11.4                 NA  
1868      1               -9.7                 NA  
1868      2               -6.7                 NA  
1868      3               -9.7                 NA  
1868      4               -5.1                 NA  
1868      5                5.3                 NA  
1868      6                3.9                 NA  
1868      7                5.1                 NA  
1868      8                5.0                 NA  
1868      9                4.7                 NA  
1868     10               -1.8                 NA  
1868     11               -6.4                 NA  
1868     12               -3.9                 NA  
1869      1               -8.7                 NA  
1869      2               -3.8                 NA  
1869      3              -11.8                 NA  
1869      4               -3.0                 NA  
1869      5                0.9                 NA  
1869      6               -0.1                 NA  
1869      7                6.7                 NA  
1869      8                2.9                 NA  
1869      9                4.5                 NA  
1869     10               -4.4                 NA  
1869     11               -6.0                 NA  
1869     12               -9.1                 NA  
1870      1              -10.6                 NA  
1870      2               -8.2                 NA  
1870      3              -10.5                 NA  
1870      4               -5.1                 NA  
1870      5                0.7                 NA  
1870      6                2.0                 NA  
1870      7                5.7                 NA  
1870      8                1.6                 NA  
1870      9                1.8                 NA  
1870     10               -2.2                 NA  
1870     11               -4.9                 NA  
1870     12              -11.7                 NA  
1871      1              -12.1                 NA  
1871      2               -6.4                 NA  
1871      3               -6.1                 NA  
1871      4               -4.6                 NA  
1871      5               -1.5                 NA  
1871      6               -1.1                 NA  
1871      7                5.1                 NA  
1871      8                5.0                 NA  
1871      9                5.1                 NA  
1871     10               -2.1                 NA  
1871     11               -7.6                 NA  
1871     12              -10.8                 NA  
1872      1               -7.5                 NA  
1872      2               -5.9                 NA  
1872      3               -6.0                 NA  
1872      4               -3.4                 NA  
1872      5               -1.8                 NA  
1872      6                1.7                 NA  
1872      7                5.7                 NA  
1872      8                3.1                 NA  
1872      9                3.3                 NA  
1872     10               -1.0                 NA  
1872     11               -4.2                 NA  
1872     12               -5.5                 NA  
1873      1               -6.1                 NA  
1873      2               -9.6                 NA  
1873      3               -4.8                 NA  
1873      4               -6.1                 NA  
1873      5               -3.3                 NA  
1873      6                2.0                 NA  
1873      7                6.5                 NA  
1873      8                5.7                 NA  
1873      9                1.8                 NA  
1873     10               -0.8                 NA  
1873     11               -3.7                 NA  
1873     12               -5.1                 NA  
1874      1               -7.4                 NA  
1874      2               -9.2                 NA  
1874      3               -8.6                 NA  
1874      4               -3.1                 NA  
1874      5               -3.9                 NA  
1874      6                3.2                 NA  
1874      7                7.1                 NA  
1874      8                3.0                 NA  
1874      9                4.7                 NA  
1874     10                0.7                 NA  
1874     11               -6.0                 NA  
1874     12              -12.8                 NA  
1875      1               -6.3                 NA  
1875      2              -11.6                 NA  
1875      3               -9.0                 NA  
1875      4               -4.5                 NA  
1875      5                1.7                 NA  
1875      6                3.5                 NA  
1875      7                3.7                 NA  
1875      8                6.1                 NA  
1875      9                4.3                 NA  
1875     10               -2.5                 NA  
1875     11               -8.0                 NA  
1875     12              -10.4                 NA  
1876      1               -7.6                 NA  
1876      2               -8.6                 NA  
