Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Samedan
Altitude [m asl]:         1709 m
Coordinates:              46° 31.6' N / 9° 52.8' E

Reference date of homogenization:
         Temperature:     01.12.2017
         Precipitation:   01.12.2012

Last inhomogeneity provisionally corrected:
         Temperature:     no
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1864      1              -13.7                2.7  
1864      2               -8.6               14.3  
1864      3               -3.8               19.2  
1864      4               -1.6               25.4  
1864      5                5.1               43.9  
1864      6                8.0               98.4  
1864      7               10.3               68.1  
1864      8                9.1              111.6  
1864      9                7.2              159.4  
1864     10                1.7              104.0  
1864     11               -3.5               40.1  
1864     12              -10.8                4.7  
1865      1               -9.4               28.6  
1865      2              -10.8               13.2  
1865      3               -9.8               25.4  
1865      4                2.0                2.1  
1865      5                7.2               69.7  
1865      6                8.7               92.1  
1865      7               12.2               73.5  
1865      8                9.9              176.2  
1865      9                8.9                2.9  
1865     10                2.8              119.1  
1865     11               -1.6               58.5  
1865     12               -9.6               17.2  
1866      1               -7.1               11.4  
1866      2               -4.0               29.6  
1866      3               -4.4               38.6  
1866      4                0.2               89.4  
1866      5                2.7               72.2  
1866      6                9.7               70.5  
1866      7               10.4               87.7  
1866      8                9.0              110.8  
1866      9                7.9               92.4  
1866     10                2.5                3.2  
1866     11               -3.4               27.5  
1866     12               -6.1               26.0  
1867      1               -7.8               98.6  
1867      2               -2.8                7.4  
1867      3               -2.9               21.6  
1867      4                1.2               57.3  
1867      5                5.1               84.9  
1867      6                8.9               80.6  
1867      7               10.0               65.4  
1867      8               11.2               56.0  
1867      9                8.7              107.1  
1867     10                0.3              119.4  
1867     11               -4.3               25.1  
1867     12               -9.9               66.4  
1868      1              -10.9                9.8  
1868      2               -6.7                2.4  
1868      3               -6.2               45.5  
1868      4               -1.1               55.6  
1868      5                8.7               26.1  
1868      6               10.3               82.2  
1868      7               10.6              111.5  
1868      8               11.1               58.8  
1868      9                8.9              159.8  
1868     10                3.6              178.5  
1868     11               -6.8               54.8  
1868     12               -3.4               34.1  
1869      1              -12.0                6.0  
1869      2               -2.7                9.8  
1869      3               -7.1               53.1  
1869      4                0.2               20.9  
1869      5                7.4               91.4  
1869      6                6.6               99.8  
1869      7               12.8               50.0  
1869      8                9.6               93.9  
1869      9                8.9               52.8  
1869     10                0.3               69.3  
1869     11               -2.9               30.0  
1869     12               -7.5               45.5  
1870      1              -11.9                8.2  
1870      2               -7.8               17.9  
1870      3               -4.9               11.2  
1870      4               -0.8               11.5  
1870      5                6.5               34.1  
1870      6                9.4               30.2  
1870      7               12.6               89.0  
