Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Sargans
Altitude [m asl]:         585 m
Coordinates:              47° 3.2' N / 9° 26.4' E

Reference date of homogenization:
         Precipitation:   01.12.2019

Last inhomogeneity provisionally corrected:
         Precipitation:   no

Units:
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month      Precipitation  
1888      5               38.8  
1888      6              105.4  
1888      7              214.7  
1888      8              169.5  
1888      9              179.5  
1888     10              136.2  
1888     11               62.4  
1888     12                4.1  
1889      1               37.3  
1889      2              214.7  
1889      3               80.4  
1889      4               78.2  
1889      5               97.3  
1889      6              208.2  
1889      7              150.2  
1889      8              162.6  
1889      9              117.7  
1889     10              181.1  
1889     11               51.5  
1889     12               30.9  
1890      1               88.9  
1890      2                3.6  
1890      3               62.0  
1890      4               99.0  
1890      5               39.1  
1890      6              235.6  
1890      7              190.0  
1890      8              434.5  
1890      9               66.4  
1890     10              174.1  
1890     11               83.7  
1890     12                8.6  
1891      1               89.5  
1891      2               18.9  
1891      3              129.1  
1891      4               96.6  
1891      5               80.4  
1891      6               98.8  
1891      7              268.1  
1891      8              129.5  
1891      9              125.1  
1891     10               72.5  
1891     11               95.7  
1891     12              219.4  
1892      1               96.7  
1892      2              169.3  
1892      3               41.8  
1892      4               85.0  
1892      5               39.5  
1892      6              191.3  
1892      7              147.3  
1892      8               53.2  
1892      9              189.4  
1892     10              135.7  
1892     11               36.5  
1892     12               49.7  
1893      1              187.4  
1893      2              120.6  
1893      3               56.1  
1893      4                9.7  
1893      5              117.8  
1893      6              118.3  
1893      7              236.8  
1893      8               49.4  
1893      9              141.5  
1893     10               77.0  
1893     11               95.6  
1893     12               35.6  
1894      1               18.6  
1894      2              147.1  
1894      3               50.7  
1894      4               77.5  
1894      5              104.9  
1894      6              110.1  
1894      7              227.0  
1894      8              198.5  
1894      9              151.2  
1894     10               69.3  
1894     11               35.0  
1894     12              106.6  
1895      1               99.3  
1895      2               21.8  
1895      3               89.2  
1895      4               59.9  
1895      5              146.7  
1895      6              110.1  
1895      7              139.0  
1895      8              125.5  
1895      9               13.1  
1895     10               97.6  
1895     11               41.9  
1895     12              210.2  
1896      1               52.3  
1896      2               44.3  
1896      3              241.1  
1896      4              211.5  
1896      5              102.0  
1896      6              120.2  
1896      7              129.5  
1896      8              181.8  
1896      9              198.5  
1896     10              186.5  
1896     11               53.4  
1896     12               48.3  
1897      1               55.6  
1897      2              197.2  
1897      3              119.7  
1897      4              102.4  
1897      5              121.7  
1897      6              112.0  
1897      7              137.0  
1897      8              215.2  
1897      9              237.9  
1897     10               27.6  
1897     11               24.2  
1897     12               41.1  
1898      1               14.7  
1898      2              250.5  
1898      3               61.0  
1898      4               67.1  
1898      5              169.7  
1898      6              250.2  
1898      7              187.3  
1898      8              117.8  
1898      9               35.2  
1898     10              109.5  
1898     11              110.2  
1898     12               72.5  
1899      1              239.8  
1899      2               15.5  
1899      3               95.2  
1899      4              207.7  
1899      5              157.0  
1899      6               69.9  
1899      7              136.0  
1899      8               59.3  
1899      9              194.7  
1899     10               35.8  
1899     11                8.3  
1899     12               99.9  
1900      1              171.4  
1900      2               88.2  
1900      3              131.8  
1900      4               75.7  
1900      5              143.5  
1900      6               89.4  
1900      7              206.7  
1900      8              164.4  
1900      9               34.2  
1900     10               33.0  
1900     11               86.1  
1900     12              141.4  
1901      1               74.5  
1901      2               46.1  
1901      3               90.4  
1901      4              184.9  
1901      5               71.8  
1901      6              166.1  
1901      7              142.7  
1901      8              165.2  
1901      9              130.6  
1901     10              107.6  
1901     11               30.2  
1901     12              113.4  
1902      1               88.9  
1902      2               33.0  
1902      3              186.4  
1902      4               32.7  
1902      5              136.8  
1902      6              115.3  
1902      7              119.9  
1902      8              132.1  
1902      9              108.1  
1902     10               88.1  
1902     11               10.5  
1902     12              230.4  
1903      1               64.9  
1903      2               60.0  
1903      3               59.2  
1903      4              162.8  
1903      5               60.9  
1903      6               99.1  
1903      7              165.2  
1903      8              128.5  
1903      9               70.4  
1903     10              101.5  
1903     11              151.2  
1903     12               42.7  
1904      1               45.8  
1904      2              100.8  
1904      3               37.8  
1904      4              149.6  
1904      5              169.0  
1904      6               92.9  
1904      7               58.1  
1904      8              126.8  
1904      9               83.2  
1904     10               74.7  
1904     11               88.1  
1904     12               68.5  
1905      1              112.1  
1905      2               55.6  
1905      3              118.9  
1905      4              176.3  
1905      5              138.3  
1905      6               94.9  
1905      7              122.8  
1905      8              185.5  
1905      9              133.8  
1905     10              164.0  
1905     11               92.9  
1905     12               60.6  
1906      1               85.8  
1906      2               81.9  
1906      3              128.5  
1906      4               59.4  
1906      5              163.1  
1906      6              164.7  
1906      7              267.4  
1906      8               99.7  
1906      9               95.6  
1906     10               28.4  
1906     11              115.5  
1906     12              140.6  
1907      1              183.5  
1907      2               59.9  
1907      3              176.5  
1907      4              105.3  
1907      5               75.4  
1907      6              102.8  
1907      7              105.3  
1907      8              100.9  
1907      9               59.8  
1907     10               90.3  
1907     11               24.6  
1907     12              126.6  
1908      1               59.3  
1908      2              167.9  
1908      3               56.6  
1908      4               99.6  
1908      5              141.9  
1908      6              104.4  
1908      7              175.6  
1908      8              175.6  
1908      9              182.6  
1908     10                3.4  
1908     11               89.6  
1908     12               51.5  
1909      1               63.8  
1909      2               76.2  
1909      3               39.2  
1909      4               81.7  
