Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  S. Bernardino
Altitude [m asl]:         1639 m
Coordinates:              46° 27.8' N / 9° 11.1' E

Reference date of homogenization:
         Temperature:     01.12.2013
         Precipitation:   01.12.2012

Last inhomogeneity provisionally corrected:
         Temperature:     no
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1864      1               -5.9                 NA  
1864      2               -5.5                 NA  
1864      3               -2.1                 NA  
1864      4                0.7                 NA  
1864      5                6.0                 NA  
1864      6                8.8                 NA  
1864      7               11.5                 NA  
1864      8                9.9                 NA  
1864      9                7.7                 NA  
1864     10                2.3                 NA  
1864     11               -1.0                 NA  
1864     12               -3.2                 NA  
1865      1               -5.0                 NA  
1865      2               -8.1                 NA  
1865      3               -7.6                 NA  
1865      4                5.7                 NA  
1865      5                8.2                 NA  
1865      6               10.2                 NA  
1865      7               13.3                 NA  
1865      8               10.4                 NA  
1865      9               11.7                 NA  
1865     10                3.3                 NA  
1865     11                0.4                 NA  
1865     12               -1.3                 NA  
1866      1               -1.8                 NA  
1866      2               -2.2                 NA  
1866      3               -2.6                 NA  
1866      4                2.2                 NA  
1866      5                3.5                 NA  
1866      6               10.6                 NA  
1866      7               11.4                 NA  
1866      8                9.2                 NA  
1866      9                8.0                 NA  
1866     10                4.6                 NA  
1866     11               -1.2                 NA  
1866     12               -0.4                 NA  
1867      1               -4.4                 NA  
1867      2               -1.9                 NA  
1867      3               -1.5                 NA  
1867      4                2.0                 NA  
1867      5                5.9                 NA  
1867      6                9.5                 NA  
1867      7               10.3                 NA  
1867      8               11.8                 NA  
1867      9                9.4                 NA  
1867     10                1.3                 NA  
1867     11               -2.4                 NA  
1867     12               -7.0                 NA  
1868      1               -5.5                 NA  
1868      2               -2.5                 NA  
1868      3               -4.3                 NA  
1868      4                0.9                 NA  
1868      5               10.1                 NA  
1868      6               11.1                 NA  
1868      7               11.6                 NA  
1868      8               11.1                 NA  
1868      9                9.4                 NA  
1868     10                3.6                 NA  
1868     11               -2.3                 NA  
1868     12               -1.4                 NA  
1869      1               -6.3                 NA  
1869      2               -0.1                 NA  
1869      3               -6.1                 NA  
1869      4                2.9                 NA  
1869      5                7.2                 NA  
1869      6                7.4                 NA  
1869      7               14.4                 NA  
1869      8               10.0                 NA  
1869      9                8.8                 NA  
1869     10                1.2                 NA  
1869     11               -1.1                 NA  
1869     12               -4.9                 NA  
1870      1               -6.6                 NA  
1870      2               -4.5                 NA  
1870      3               -4.1                 NA  
1870      4                0.7                 NA  
1870      5                7.9                 NA  
1870      6               10.4                 NA  
1870      7               13.5                 NA  
1870      8                8.8                 NA  
1870      9                7.0                 NA  
1870     10                2.4                 NA  
1870     11               -1.3                 NA  
1870     12               -7.3                 NA  
1871      1               -8.0                 NA  
1871      2               -2.2                 NA  
1871      3               -1.5                 NA  
1871      4                2.1                 NA  
1871      5                5.0                 NA  
1871      6                6.0                 NA  
1871      7               12.3                 NA  
1871      8               11.4                 NA  
1871      9               10.2                 NA  
1871     10                2.5                 NA  
1871     11               -3.4                 NA  
1871     12               -6.8                 NA  
1872      1               -4.3                 NA  
1872      2               -3.8                 NA  
1872      3               -1.6                 NA  
1872      4                2.8                 NA  
1872      5                4.4                 NA  
1872      6                9.1                 NA  
1872      7               12.5                 NA  
1872      8                9.9                 NA  
1872      9                9.2                 NA  
1872     10                4.1                 NA  
1872     11               -0.5                 NA  
1872     12               -2.5                 NA  
1873      1               -3.5                 NA  
1873      2               -5.3                 NA  
1873      3                0.0                 NA  
1873      4                0.2                 NA  
1873      5                3.4                 NA  
1873      6                9.0                 NA  
1873      7               13.7                 NA  
1873      8               12.4                 NA  
1873      9                7.8                 NA  
1873     10                5.0                 NA  
1873     11               -0.3                 NA  
1873     12               -1.5                 NA  
1874      1               -3.0                 NA  
1874      2               -5.9                 NA  
1874      3               -2.7                 NA  
1874      4                3.1                 NA  
1874      5                2.3                 NA  
1874      6               10.4                 NA  
1874      7               14.5                 NA  
1874      8                9.9                 NA  
1874      9                9.7                 NA  
1874     10                5.0                 NA  
1874     11               -3.2                 NA  
1874     12               -7.9                 NA  
1875      1               -2.4                 NA  
1875      2               -7.7                 NA  
1875      3               -3.7                 NA  
1875      4                1.1                 NA  
1875      5                8.3                 NA  
1875      6               10.0                 NA  
1875      7               10.8                 NA  
1875      8               13.0                 NA  
1875      9                9.1                 NA  
1875     10                2.5                 NA  
1875     11               -2.8                 NA  
1875     12               -4.9                 NA  
1876      1               -4.1                 NA  
1876      2               -4.3                 NA  
1876      3               -3.0                 NA  
1876      4                1.8                 NA  
1876      5                3.9                 NA  
1876      6                8.9                 NA  
1876      7               12.5                 NA  
1876      8               11.8                 NA  
1876      9                6.7                 NA  
1876     10                6.6                 NA  
1876     11               -2.8                 NA  
1876     12               -1.8                 NA  
1877      1               -3.7                 NA  
1877      2               -4.2                 NA  
1877      3               -4.6                 NA  
1877      4                1.2                 NA  
1877      5                3.3                 NA  
1877      6               11.4                 NA  
1877      7               10.4                 NA  
1877      8               12.7                 NA  
1877      9                6.2                 NA  
1877     10                1.5                 NA  
1877     11                0.4                 NA  
1877     12               -4.8                 NA  
1878      1               -6.5                 NA  
1878      2               -1.4                 NA  
1878      3               -4.4                 NA  
1878      4                1.7                 NA  
1878      5                6.4                 NA  
1878      6                8.8                 NA  
1878      7               11.3                 NA  
1878      8               10.9                 NA  
1878      9                8.4                 NA  
1878     10                3.9                 NA  
1878     11               -3.8                 NA  
1878     12               -8.2                 NA  
1879      1               -5.3                 NA  
1879      2               -4.5                 NA  
1879      3               -1.2                 NA  
1879      4               -0.9                 NA  
1879      5                2.3                 NA  
1879      6                9.0                 NA  
1879      7                8.6                 NA  
1879      8               13.7                 NA  
1879      9                8.1                 NA  
1879     10                3.9                 NA  
1879     11               -4.1                 NA  
1879     12               -6.4                 NA  
1880      1               -5.3                 NA  
1880      2               -3.0                 NA  
1880      3                0.8                 NA  
1880      4                2.1                 NA  
1880      5                5.2                 NA  
1880      6                7.6                 NA  
1880      7               13.1                 NA  
1880      8                9.9                 NA  
1880      9                8.6                 NA  
1880     10                4.2                 NA  
1880     11                0.2                 NA  
1880     12               -0.9                 NA  
1881      1               -7.8                 NA  
1881      2               -4.1                 NA  
1881      3               -0.4                 NA  
1881      4                1.3                 NA  
1881      5                5.1                 NA  
1881      6                8.6                 NA  
1881      7               14.4                 NA  
1881      8               11.8                 NA  
1881      9                6.1                 NA  
1881     10                0.0                 NA  
1881     11                3.2                 NA  
1881     12               -3.1                 NA  
1882      1               -0.4                 NA  
1882      2               -2.8                 NA  
1882      3                0.8                 NA  
1882      4                0.8                 NA  
1882      5                5.6                 NA  
1882      6                8.3                 NA  
1882      7               10.3                 NA  
1882      8                9.2                 NA  
1882      9                6.0                 NA  
1882     10                3.5                 NA  
1882     11               -2.1                 NA  
1882     12               -2.9                 NA  
1883      1               -4.5                 NA  
1883      2               -2.8                 NA  
1883      3               -6.2                 NA  
1883      4               -0.1                 NA  
1883      5                5.8                 NA  
1883      6                8.7                 NA  
1883      7               10.2                 NA  
1883      8               11.0                 NA  
1883      9                6.8                 NA  
1883     10                2.8                 NA  
1883     11               -1.2                 NA  
1883     12               -3.9                 NA  
1884      1               -2.2                 NA  
1884      2               -3.2                 NA  
1884      3               -1.2                 NA  
1884      4                1.4                 NA  
1884      5                7.0                 NA  
1884      6                6.2                 NA  
1884      7               12.1                 NA  
1884      8               11.6                 NA  
1884      9                8.2                 NA  
1884     10                2.2                 NA  
1884     11               -2.2                 NA  
1884     12               -3.5                 NA  
1885      1               -5.7                 NA  
1885      2               -1.7                 NA  
1885      3               -1.7                 NA  
1885      4                2.3                 NA  
1885      5                3.8                 NA  
1885      6               11.0                 NA  
1885      7               13.2                 NA  
1885      8               10.9                 NA  
1885      9                7.8                 NA  
1885     10                0.9                 NA  
1885     11                0.5                 NA  
1885     12               -3.4                 NA  
1886      1               -5.9                 NA  
1886      2               -5.9                 NA  
1886      3               -3.6                 NA  
1886      4                2.3                 NA  
1886      5                5.4                 NA  
1886      6                7.9                 NA  
1886      7               12.2                 NA  
1886      8               11.1                 NA  
1886      9               10.2                 NA  
1886     10                4.8                 NA  
1886     11               -0.3                 NA  
1886     12               -5.9                 NA  
1887      1               -5.0                 NA  
1887      2               -5.4                 NA  
1887      3               -2.6                 NA  
1887      4                0.4                 NA  
1887      5                3.0                 NA  
1887      6               11.0                 NA  
1887      7               14.0                 NA  
1887      8               11.1                 NA  
1887      9                7.3                 NA  
1887     10               -0.4                 NA  
1887     11               -2.1                 NA  
1887     12               -7.4                 NA  
1888      1               -5.2                 NA  
1888      2               -6.6                 NA  
1888      3               -4.3                 NA  
1888      4               -0.6                 NA  
1888      5                6.0                 NA  
1888      6                9.1                 NA  
1888      7                9.1                 NA  
1888      8               10.2                 NA  
1888      9                8.4                 NA  
1888     10                1.9                 NA  
1888     11                0.1                 NA  
1888     12               -1.5                 NA  
1889      1               -4.7                 NA  
1889      2               -8.2                 NA  
1889      3               -5.4                 NA  
1889      4               -0.5                 NA  
1889      5                6.4                 NA  
1889      6               10.0                 NA  
1889      7               10.5                 NA  
1889      8               10.0                 NA  
1889      9                6.5                 NA  
1889     10                2.8                 NA  
1889     11                0.8                 NA  
1889     12               -5.1                 NA  
1890      1               -1.4                 NA  
1890      2               -6.5                 NA  
1890      3               -2.7                 NA  
1890      4                0.0                 NA  
1890      5                5.8                 NA  
1890      6                8.4                 NA  
1890      7                9.6                 NA  
1890      8               10.2                 NA  
1890      9                6.7                 NA  
1890     10                2.4                 NA  
1890     11               -1.9                 NA  
1890     12               -6.1                 NA  
1891      1               -8.9                 NA  
1891      2               -3.0                 NA  
1891      3               -3.7                 NA  
1891      4               -1.2                 NA  
1891      5                4.9                 NA  
1891      6                8.7                 NA  
1891      7               10.3                 NA  
1891      8                9.1                 NA  
1891      9                8.9                 NA  
1891     10                4.4                 NA  
1891     11               -1.1                 NA  
1891     12               -2.5                 NA  
1892      1               -4.9                 NA  
1892      2               -4.8                 NA  
1892      3               -5.2                 NA  
1892      4                1.6                 NA  
1892      5                5.5                 NA  
1892      6                9.5                 NA  
1892      7               11.0                 NA  
1892      8               11.8                 NA  
1892      9                8.4                 NA  
1892     10                1.8                 NA  
1892     11                1.4                 NA  
1892     12               -4.8                 NA  
1893      1               -8.8                 NA  
1893      2               -4.3                 NA  
1893      3               -1.3                 NA  
1893      4                4.3                 NA  
1893      5                4.6                 NA  
1893      6                9.6                 NA  
1893      7               11.2                 NA  
1893      8               12.1                 NA  
1893      9                7.9                 NA  
1893     10                5.9                 NA  
1893     11               -1.5                 NA  
1893     12               -3.3                 NA  
1894      1               -5.4                 NA  
1894      2               -3.3                 NA  
1894      3               -2.1                 NA  
1894      4                3.1                 NA  
1894      5                4.9                 NA  
1894      6                8.8                 NA  
1894      7               12.0                 NA  
1894      8               10.5                 NA  
1894      9                6.7                 NA  
1894     10                3.2                 NA  
1894     11                1.2                 NA  
1894     12               -4.4                 NA  
1895      1              -10.2                 NA  
1895      2               -9.5                 NA  
1895      3               -3.5                 NA  
1895      4                2.5                 NA  
1895      5                4.8                 NA  
1895      6                8.4                 NA  
1895      7               12.3                 NA  
1895      8               10.6                 NA  
1895      9               12.1                 NA  
1895     10                2.8                 NA  
1895     11                2.3                 NA  
1895     12               -3.3                 NA  
1896      1               -3.5                 NA  
1896      2               -1.9                 NA  
1896      3               -0.4                 NA  
1896      4               -1.2                 NA  
1896      5                4.2                 NA  
1896      6                8.9                 NA  
1896      7               12.0                 NA  
1896      8                7.7                 NA  
1896      9                6.9                 NA  
1896     10                2.4                 NA  
1896     11               -2.2                 NA  
1896     12               -3.3                 NA  
1897      1               -5.5                 NA  
1897      2               -1.0                 NA  
1897      3               -0.6                 NA  
1897      4                1.0                 NA  
1897      5                3.7                 NA  
1897      6               10.9                 NA  
1897      7               12.0                 NA  
1897      8               10.9                 NA  
1897      9                6.8                 NA  
1897     10                3.4                 NA  
1897     11                1.8                 NA  
1897     12               -2.4                 NA  
1898      1                0.5                 NA  
1898      2               -5.1                 NA  
1898      3               -2.3                 NA  
1898      4                1.9                 NA  
1898      5                4.2                 NA  
1898      6                7.8                 NA  
1898      7               10.6                 NA  
1898      8               12.7                 NA  
1898      9               10.9                 NA  
1898     10                5.6                 NA  
1898     11                1.8                 NA  
1898     12               -2.0                 NA  
1899      1               -2.9                 NA  
1899      2               -2.1                 NA  
1899      3               -1.7                 NA  
1899      4                1.0                 NA  
1899      5                4.7                 NA  
1899      6                9.1                 NA  
1899      7               11.5                 NA  
1899      8               12.4                 NA  
1899      9                7.2                 NA  
1899     10                6.1                 NA  
1899     11                2.7                 NA  
1899     12               -4.9                 NA  
1900      1               -4.2                 NA  
1900      2               -3.3                 NA  
1900      3               -5.8                 NA  
1900      4                0.3                 NA  
1900      5                4.8                 NA  
1900      6               10.0                 NA  
1900      7               12.9                 NA  
1900      8                9.6                 NA  
1900      9               10.2                 NA  
1900     10                4.9                 NA  
1900     11               -0.2                 NA  
1900     12               -0.3                 NA  
1901      1               -5.2               14.3  
1901      2              -10.9               79.0  
1901      3               -4.8              278.2  
1901      4                1.7              240.4  
1901      5                5.6              124.9  
1901      6               10.3              209.6  
1901      7               11.4              298.9  
1901      8               10.8              110.3  
1901      9                8.4              120.1  
1901     10                3.3              235.5  
1901     11               -1.2               74.6  
1901     12               -3.3              167.4  
1902      1               -2.5               38.3  
1902      2               -3.8              107.5  
1902      3               -2.1              129.7  
1902      4                3.1               92.6  
1902      5                1.5              192.2  
1902      6                7.5              147.8  
1902      7               12.3               93.4  
1902      8               10.1              273.1  
1902      9                8.0              177.1  
1902     10                2.8              159.4  
1902     11               -0.9              115.1  
1902     12               -3.0               64.5  
1903      1               -4.3               92.2  
1903      2               -1.2               30.9  
1903      3               -1.4              101.3  
1903      4               -2.4              210.0  
1903      5                5.0              308.2  
1903      6                7.9              167.9  
1903      7               10.0              217.4  
1903      8               11.7              182.9  
1903      9                8.1               75.4  
1903     10                3.8              176.8  
1903     11               -1.0               65.0  
1903     12               -4.3              113.2  
1904      1               -4.5               36.6  
1904      2               -5.6              159.5  
1904      3               -2.0              154.8  
1904      4                3.0               36.6  
1904      5                6.8              167.0  
1904      6               10.7              146.1  
1904      7               14.1               77.7  
1904      8               12.0               91.9  
1904      9                5.8              212.3  
1904     10                4.4               31.3  
1904     11               -1.0               40.7  
1904     12               -2.0               76.4  
1905      1               -7.1               17.2  
1905      2               -5.4               55.0  
1905      3               -1.7               75.9  
1905      4                1.3              138.7  
1905      5                4.5              201.7  
1905      6                9.3              113.0  
1905      7               14.0              117.3  
1905      8               10.8              343.5  
1905      9                8.3              250.3  
1905     10               -2.0               16.3  
1905     11               -2.8              215.7  
1905     12               -1.3                2.3  
1906      1               -5.1               35.3  
1906      2               -7.2               47.7  
1906      3               -2.6              129.0  
1906      4                0.4              179.5  
1906      5                6.1              101.8  
1906      6                9.3               43.1  
1906      7               11.7              204.4  
1906      8               12.6               61.6  
1906      9                7.5               39.1  
1906     10                6.0              126.9  
1906     11                1.3              292.2  
1906     12               -7.8               38.8  
1907      1               -5.1               57.6  
1907      2               -6.6               25.4  
1907      3               -3.7               32.3  
1907      4               -0.5              160.6  
1907      5                5.5              124.6  
1907      6                9.6              186.3  
1907      7                9.7              163.2  
1907      8               11.9              100.2  
1907      9                9.3              135.5  
1907     10                4.5              407.0  
1907     11                0.2               31.9  
1907     12               -3.2              131.5  
1908      1               -2.7                8.7  
1908      2               -4.8               41.7  
1908      3               -4.4              144.2  
1908      4               -1.1              143.5  
1908      5                7.2              183.3  
1908      6               10.6              145.1  
1908      7               11.3              141.8  
1908      8                9.5              316.8  
1908      9                7.6               72.6  
1908     10                6.0               92.1  
1908     11               -0.3               41.4  
1908     12               -4.2               25.5  
1909      1               -5.0                5.6  
1909      2               -7.9               86.4  
1909      3               -5.2              164.0  
1909      4                3.2               56.7  
1909      5                5.2               84.8  
1909      6                6.9              254.3  
1909      7                9.7              199.2  
1909      8               10.6              194.7  
1909      9                6.8               84.6  
1909     10                5.0              217.2  
1909     11               -2.5               91.5  
1909     12               -3.0              143.1  
1910      1               -4.3               88.9  
1910      2               -5.6               56.1  
1910      3               -2.6               90.2  
1910      4                0.1              214.0  
1910      5                3.5              124.1  
1910      6                9.1              228.1  
1910      7                9.3              139.3  
1910      8               10.5              141.8  
1910      9                6.2               51.9  
1910     10                4.7              180.5  
1910     11               -4.2              165.4  
1910     12               -2.1              172.0  
1911      1               -4.4               10.3  
1911      2               -4.2               28.2  
1911      3               -2.7              127.9  
1911      4                0.7               55.0  
1911      5                5.2               83.2  
1911      6                8.6              231.5  
1911      7               14.4               12.8  
1911      8               14.0              170.0  
1911      9               10.1               84.4  
1911     10                3.8              305.8  
1911     11                0.4              210.9  
1911     12               -2.6               80.4  
1912      1               -3.4               62.0  
1912      2               -2.1               51.0  
1912      3               -0.5              147.8  
1912      4                0.0               59.8  
1912      5                6.2               53.4  
1912      6                9.1              198.9  
1912      7               10.9              178.4  
1912      8                7.7              340.1  
1912      9                3.3               14.6  
1912     10                2.9              207.0  
1912     11               -3.8               76.4  
1912     12               -0.8               29.6  
1913      1               -3.6               30.2  
1913      2               -4.8               15.9  
1913      3               -0.2              203.6  
1913      4                0.3              151.8  
1913      5                4.9               99.3  
1913      6                8.7               83.9  
1913      7                8.8               91.2  
1913      8               10.2              129.8  
1913      9                7.0              221.2  
1913     10                5.3              286.3  
1913     11                1.4              145.6  
1913     12               -3.7               39.9  
1914      1               -5.8               14.9  
1914      2               -1.4              121.9  
1914      3               -2.0              137.8  
1914      4                3.6               59.3  
1914      5                4.4              251.5  
1914      6                8.0              165.8  
1914      7                9.9              258.4  
1914      8               11.3              187.1  
1914      9                7.6               54.5  
1914     10                3.2              245.0  
1914     11               -1.8               31.3  
1914     12               -3.2               99.1  
1915      1               -6.9               54.0  
1915      2               -5.8              145.1  
1915      3               -3.0               85.4  
1915      4                0.8              113.9  
1915      5                7.4              127.0  
1915      6               10.9              117.7  
1915      7               11.1              314.5  
1915      8                9.9               50.0  
1915      9                6.7              197.4  
1915     10                1.3               31.4  
1915     11               -3.6               99.5  
1915     12               -1.9              180.3  
1916      1               -1.5               16.5  
1916      2               -5.1              192.9  
1916      3               -1.9              250.8  
1916      4                1.7              122.5  
1916      5                6.1              156.1  
1916      6                7.0              274.5  
1916      7               10.6              132.6  
1916      8               10.6              211.2  
1916      9                5.9              126.5  
1916     10                3.6              105.5  
1916     11               -0.9              157.7  
1916     12               -3.2              206.4  
