Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Segl-Maria
Altitude [m asl]:         1804 m
Coordinates:              46° 25.9' N / 9° 45.7' E

Reference date of homogenization:
         Temperature:     01.12.2017
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   yes

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1864      1              -11.4                4.9  
1864      2               -8.1               54.0  
1864      3               -4.3               68.1  
1864      4               -2.0               35.1  
1864      5                4.2               46.5  
1864      6                7.5              117.8  
1864      7               10.0               84.8  
1864      8                8.7              151.9  
1864      9                6.9              147.7  
1864     10                1.5              140.3  
1864     11               -2.5               63.0  
1864     12               -8.0                9.0  
1865      1               -8.1               51.2  
1865      2              -10.1                7.8  
1865      3               -9.2               46.6  
1865      4                1.9                5.3  
1865      5                6.4              114.6  
1865      6                8.5               79.7  
1865      7               11.0              119.3  
1865      8                9.3              233.6  
1865      9                8.9               11.1  
1865     10                2.5              173.0  
1865     11               -1.3              140.0  
1865     12               -6.6               38.0  
1866      1               -5.8               32.0  
1866      2               -4.2               54.9  
1866      3               -4.4              102.7  
1866      4               -0.1              172.9  
1866      5                1.9              125.8  
1866      6                8.9               75.8  
1866      7               10.0              107.4  
1866      8                8.5               98.3  
1866      9                7.4               97.5  
1866     10                3.0                7.4  
1866     11               -2.5               20.4  
1866     12               -4.2               41.0  
1867      1               -6.6              147.7  
1867      2               -2.9                6.0  
1867      3               -3.0               58.9  
1867      4                0.6               79.8  
1867      5                4.3              120.6  
1867      6                8.3               82.5  
1867      7                9.2               92.1  
1867      8               10.4               64.9  
1867      9                8.2              153.0  
1867     10                0.7              145.6  
1867     11               -3.2               59.3  
1867     12               -8.4              114.7  
1868      1               -9.3               38.1  
1868      2               -5.6                5.4  
1868      3               -5.7               50.7  
1868      4               -0.9              101.4  
1868      5                7.6               44.6  
1868      6                9.6              117.9  
1868      7               10.3               86.3  
1868      8               10.7               76.0  
1868      9                8.3              233.4  
1868     10                3.8              222.8  
1868     11               -4.4               74.9  
1868     12               -3.0               57.1  
1869      1               -9.6                6.7  
1869      2               -2.5               14.5  
1869      3               -7.0              100.1  
1869      4                0.2               42.9  
1869      5                6.3              144.5  
1869      6                6.1              115.0  
1869      7               12.1               59.6  
1869      8                9.6              109.6  
1869      9                8.5               79.0  
1869     10                0.9               64.7  
1869     11               -2.0               24.2  
1869     12               -6.5              116.3  
1870      1              -10.3               11.2  
1870      2               -7.4               42.9  
1870      3               -5.3               14.6  
1870      4               -1.0               11.3  
1870      5                5.6               48.1  
1870      6                8.9               42.4  
1870      7               11.5              110.8  
1870      8                8.3               81.6  
1870      9                6.5               68.3  
1870     10                1.7               51.9  
1870     11               -2.4              177.5  
1870     12               -8.7               42.0  
1871      1              -10.9              128.0  
1871      2               -6.5                4.5  
1871      3               -4.0               25.0  
1871      4               -0.1               44.7  
1871      5                3.1               35.0  
1871      6                4.8              148.7  
1871      7               10.8              123.6  
1871      8               10.0               55.7  
1871      9                8.8               67.1  
1871     10                1.5                5.9  
1871     11               -4.6              102.0  
1871     12              -11.9                8.2  
1872      1               -7.2               80.3  
1872      2               -7.7               34.9  
1872      3               -3.7               76.9  
1872      4                0.4              114.9  
1872      5                3.0              258.4  
1872      6                7.8              127.5  
1872      7               10.5              103.8  
1872      8                8.9              181.4  
1872      9                7.5              138.3  
1872     10                4.0              252.9  
1872     11               -1.2               64.7  
1872     12               -4.1              254.5  
1873      1               -6.8               51.3  
1873      2               -8.0               40.2  
1873      3               -2.2               83.4  
1873      4               -1.5               33.4  
1873      5                2.5               62.1  
1873      6                7.9               42.0  
1873      7               11.6              156.4  
1873      8               11.1              104.8  
1873      9                6.7              168.8  
1873     10                4.0              196.1  
1873     11               -2.0               99.3  
1873     12               -6.3               18.7  
1874      1               -7.3               20.0  
1874      2               -7.7               16.4  
1874      3               -5.3               11.1  
1874      4                0.9              113.0  
1874      5                1.3               30.7  
1874      6                8.5              130.2  
1874      7               12.4              126.5  
1874      8                9.6              142.6  
1874      9                8.8               44.4  
1874     10                3.6               35.5  
1874     11               -5.7              124.6  
1874     12               -9.9              169.8  
1875      1               -6.7               73.5  
1875      2               -9.8               24.6  
1875      3               -5.6                6.5  
1875      4               -1.8               53.3  
1875      5                5.6               57.8  
1875      6                8.5              168.9  
1875      7                9.0              156.9  
1875      8               10.9              106.1  
1875      9                7.7               13.0  
1875     10                2.0              110.5  
1875     11               -3.6               35.2  
1875     12               -8.1               10.8  
1876      1               -7.9               14.3  
1876      2               -6.3               14.5  
1876      3               -4.3              115.3  
1876      4               -0.2              292.5  
1876      5                1.7              116.5  
1876      6                7.8               71.3  
1876      7               11.1               62.6  
1876      8               10.5              102.3  
1876      9                6.2              100.3  
1876     10                4.9               15.3  
1876     11               -3.4               16.5  
1876     12               -4.6               87.9  
1877      1               -5.4               26.8  
1877      2               -5.3               57.1  
1877      3               -6.1              149.7  
1877      4               -0.9               66.7  
1877      5                1.7              102.8  
1877      6                9.9               51.7  
1877      7                9.5              219.0  
1877      8               11.8               90.2  
1877      9                6.2               68.4  
1877     10                0.6               22.0  
1877     11               -1.7              121.8  
1877     12               -7.3               31.4  
1878      1               -8.9               18.9  
1878      2               -5.2                1.6  
1878      3               -5.6              103.3  
1878      4               -0.6               20.1  
1878      5                4.8              151.0  
1878      6                7.6               93.5  
1878      7                9.9               84.3  
1878      8               10.5              191.2  
1878      9                7.9              205.9  
1878     10                3.2              153.5  
1878     11               -4.5              173.0  
1878     12              -10.2               40.1  
1879      1               -8.0               40.4  
1879      2               -6.1               98.9  
1879      3               -3.7               28.4  
1879      4               -1.9              137.7  
1879      5                0.7              177.0  
1879      6                7.7               60.1  
1879      7                7.9              131.4  
1879      8               12.0              122.7  
1879      9                7.9               53.6  
1879     10                2.5               15.2  
1879     11               -4.7               62.2  
1879     12              -10.6               12.4  
1880      1               -9.4                0.0  
1880      2               -6.0               59.2  
1880      3               -2.4                7.6  
1880      4                0.7               60.6  
1880      5                4.0               55.8  
1880      6                6.5              137.6  
1880      7               11.3              122.3  
1880      8                9.6               71.9  
1880      9                7.9              117.1  
1880     10                3.6              162.2  
1880     11               -1.4              119.5  
1880     12               -3.2               57.6  
1881      1              -10.5               31.6  
1881      2               -6.6                7.6  
1881      3               -2.8               16.0  
1881      4               -0.3               54.8  
1881      5                3.9               45.5  
1881      6                7.3               50.9  
1881      7               12.3               60.7  
1881      8               10.9              124.4  
1881      9                5.8               91.4  
1881     10                0.3               51.5  
1881     11                0.8               20.5  
1881     12               -6.5               46.8  
1882      1               -5.9                5.9  
1882      2               -6.8                5.0  
1882      3               -2.1               48.9  
1882      4               -1.0               82.3  
1882      5                4.4               51.5  
1882      6                7.0              126.6  
1882      7                9.5               84.9  
1882      8                8.7               98.0  
1882      9                5.9              324.9  
1882     10                3.1              198.0  
1882     11               -3.4               38.9  
1882     12               -5.4              124.3  
1883      1               -6.9               34.8  
1883      2               -5.2               30.6  
1883      3               -7.9               21.4  
1883      4               -1.8               35.5  
1883      5                4.0               47.5  
1883      6                7.3              119.6  
1883      7                9.1              119.2  
1883      8                9.7               44.6  
1883      9                6.4              127.3  
1883     10                1.3               83.4  
1883     11               -3.4               57.7  
1883     12               -6.2               36.5  
