Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Sion
Altitude [m asl]:         482 m
Coordinates:              46° 13.1' N / 7° 19.8' E

Reference date of homogenization:
         Temperature:     01.12.2007
         Precipitation:   01.12.2007

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1864      1               -7.1                 NA  
1864      2               -0.7                 NA  
1864      3                5.8                 NA  
1864      4                9.5               13.3  
1864      5               14.5               67.9  
1864      6               15.6               92.5  
1864      7               18.6               35.6  
1864      8               17.0               31.7  
1864      9               13.3               16.3  
1864     10                8.1               26.5  
1864     11                2.1               63.9  
1864     12               -2.5                0.0  
1865      1               -1.1               59.2  
1865      2               -2.0               44.3  
1865      3                0.3               22.8  
1865      4               13.9                0.0  
1865      5               16.8               31.1  
1865      6               18.2               19.1  
1865      7               20.0               35.5  
1865      8               16.3               80.8  
1865      9               17.0                0.0  
1865     10                9.6               68.7  
1865     11                3.8               32.5  
1865     12               -2.9               41.8  
1866      1                0.1               45.3  
1866      2                3.3              132.0  
1866      3                5.2               49.5  
1866      4               10.3               59.1  
1866      5               11.9               75.8  
1866      6               18.4               14.9  
1866      7               18.2               45.1  
1866      8               14.9              142.6  
1866      9               13.9               81.0  
1866     10                9.6               24.5  
1866     11                2.0               74.2  
1866     12                0.6               76.6  
1867      1               -2.0              141.0  
1867      2                4.0               70.3  
1867      3                5.6              110.3  
1867      4                9.6               82.5  
1867      5               14.0               27.6  
1867      6               16.9               29.7  
1867      7               17.3               41.0  
1867      8               18.2               10.8  
1867      9               15.0               33.3  
1867     10                6.3               93.2  
1867     11                1.6                7.0  
1867     12               -3.3               76.3  
1868      1               -4.7               67.2  
1868      2                1.8                0.0  
1868      3                3.8               50.0  
1868      4                8.7               67.7  
1868      5               18.5               15.9  
1868      6               18.0               54.5  
1868      7               18.8               16.3  
1868      8               17.9               45.9  
1868      9               16.3               23.2  
1868     10                8.8               46.5  
1868     11               -0.2               11.9  
1868     12                2.3              146.2  
1869      1               -1.7                6.0  
1869      2                4.2               32.9  
1869      3                1.5               61.4  
1869      4               10.9                3.0  
1869      5               15.5               33.1  
1869      6               15.0               32.2  
1869      7               20.4               21.1  
1869      8               16.4               32.9  
1869      9               14.5               39.6  
1869     10                6.6               32.1  
1869     11                1.8              119.4  
1869     12               -1.5               30.4  
1870      1               -3.4               11.1  
1870      2                0.2                9.9  
1870      3                3.5               40.7  
1870      4                9.8                7.9  
1870      5               15.4                3.4  
1870      6               18.0               15.9  
1870      7               20.2               33.4  
1870      8               15.0               42.3  
1870      9               12.6               39.3  
1870     10                7.1              210.2  
1870     11                2.5               58.0  
1870     12               -4.0               28.1  
1871      1               -5.5               20.1  
1871      2                1.3               14.0  
1871      3                5.0               25.1  
1871      4                9.5               77.6  
1871      5               13.8                2.0  
1871      6               13.9               29.5  
1871      7               18.3               32.1  
1871      8               17.8               48.9  
1871      9               15.4               84.5  
1871     10                7.0              159.7  
1871     11                0.5               22.0  
1871     12               -7.3                0.1  
1872      1               -0.9               28.2  
1872      2                2.0               42.3  
1872      3                5.7               38.3  
1872      4               10.1               22.7  
1872      5               12.4              116.1  
1872      6               15.8               71.9  
1872      7               18.8              117.2  
1872      8               15.5              119.1  
1872      9               14.5               14.6  
1872     10                9.1              167.1  
1872     11                3.9               58.4  
1872     12                1.4              124.2  
1873      1               -0.8              128.7  
1873      2               -1.2               11.6  
1873      3                6.7              102.7  
1873      4                7.9               32.3  
1873      5               12.0               68.9  
1873      6               16.8               18.6  
1873      7               19.7              120.2  
1873      8               18.7               92.9  
1873      9               13.7               20.8  
1873     10                9.5               56.4  
1873     11                3.8               41.6  
1873     12               -2.9               13.1  
1874      1               -1.5                4.8  
1874      2                0.6                2.0  
1874      3                4.6                7.3  
1874      4               11.2               40.0  
1874      5               11.2               31.0  
1874      6               18.0               41.5  
1874      7               20.5               62.5  
1874      8               16.3               54.3  
