Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  St. Gallen
Altitude [m asl]:         776 m
Coordinates:              47° 25.5' N / 9° 23.9' E

Reference date of homogenization:
         Temperature:     01.12.2010
         Precipitation:   01.12.2019

Last inhomogeneity provisionally corrected:
         Temperature:     yes
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            7.07.2021


Year  Month        Temperature      Precipitation  
1864      1               -6.5                 NA  
1864      2               -1.8                 NA  
1864      3                3.6                 NA  
1864      4                4.4                 NA  
1864      5               10.1                 NA  
1864      6               12.7                 NA  
1864      7               14.9                 NA  
1864      8               14.2                 NA  
1864      9               12.2                 NA  
1864     10                6.6                 NA  
1864     11                1.9                 NA  
1864     12               -4.9                 NA  
1865      1               -0.1                 NA  
1865      2               -3.7                 NA  
1865      3               -2.9                 NA  
1865      4               10.5                 NA  
1865      5               13.8                 NA  
1865      6               13.8                 NA  
1865      7               17.5                 NA  
1865      8               14.2                 NA  
1865      9               14.6                 NA  
1865     10                9.2                 NA  
1865     11                5.3                 NA  
1865     12               -2.9                8.5  
1866      1                1.8               34.3  
1866      2                2.9              104.5  
1866      3                2.3              118.7  
1866      4                7.3              113.0  
1866      5                7.5              107.8  
1866      6               14.9              145.2  
1866      7               14.9              122.3  
1866      8               13.0              299.8  
1866      9               13.5              115.6  
1866     10                7.3               12.7  
1866     11                3.1              141.8  
1866     12                1.8               80.0  
1867      1               -0.9              122.4  
1867      2                4.5               94.3  
1867      3                2.0               98.4  
1867      4                6.8              136.7  
1867      5               10.6              175.2  
1867      6               13.2              182.4  
1867      7               13.6              105.3  
1867      8               15.6              164.5  
1867      9               12.9               90.9  
1867     10                5.8              212.5  
1867     11                0.8               49.0  
1867     12               -3.5              110.2  
1868      1               -3.0               51.1  
1868      2                1.7               14.4  
1868      3                0.8              104.9  
1868      4                5.1              108.3  
1868      5               15.1               28.8  
1868      6               14.3              151.3  
1868      7               15.5              155.3  
1868      8               15.4               69.3  
1868      9               13.9               89.6  
1868     10                8.3              159.9  
1868     11                0.1               55.3  
1868     12                4.5               88.4  
1869      1               -2.0               36.0  
1869      2                4.8               14.2  
1869      3               -1.0               61.2  
1869      4                7.5              121.9  
1869      5               12.1              153.1  
1869      6               10.4              152.6  
1869      7               17.1              156.3  
1869      8               13.2              216.4  
1869      9               13.4               87.6  
1869     10                5.1               94.6  
1869     11                3.6              105.7  
1869     12               -2.1               68.0  
1870      1               -2.7               24.4  
1870      2               -3.8               27.7  
1870      3               -0.2               86.6  
1870      4                5.3               54.8  
1870      5               11.6               46.3  
1870      6               13.7               82.8  
1870      7               16.9              112.4  
1870      8               12.8              167.8  
1870      9               10.4              100.6  
1870     10                7.6              216.8  
1870     11                2.3               87.7  
1870     12               -4.7               92.0  
1871      1               -5.6               61.3  
1871      2                0.7               53.1  
1871      3                3.0               55.7  
1871      4                6.6              157.9  
1871      5                8.5               94.7  
1871      6               10.0              244.4  
1871      7               15.9              145.0  
1871      8               15.2              122.4  
1871      9               13.6               54.7  
1871     10                5.3              123.2  
1871     11               -1.0               89.8  
1871     12               -8.0               20.7  
1872      1               -0.2               46.1  
1872      2                0.3               43.9  
1872      3                4.0               56.0  
1872      4                6.6              118.0  
1872      5                9.6              282.1  
1872      6               12.7              204.2  
1872      7               15.5              110.9  
1872      8               13.4              197.6  
1872      9               13.0               53.3  
1872     10                9.6              117.7  
1872     11                5.6              104.7  
1872     12                2.3               81.2  
1873      1                1.0               14.6  
1873      2               -1.0               27.8  
1873      3                4.9               76.7  
1873      4                4.6              145.8  
1873      5                7.4              225.4  
1873      6               13.4              107.1  
